rep,id,tin,iniT,iniI,beta,rhoX,k,delta,p,c,sigmaX,phiX,dX
9,1,-1.547064714,2666667,0.0333333,4.83e-08,2,4,1.297105345,7741.698425,10,1,2,0.2
13,2,0.160230966,2666667,0.0333333,2.5e-08,2,4,0.942207422,8824.478824,10,1,2,0.2
11,3,-3.065139628,2666667,0.0333333,1e-08,2,4,1.709149113,7885.763494,10,1,2,0.2
8,4,0.502767192,2666667,0.0333333,2.64e-08,2,4,1.55850767,8443.578842,10,1,2,0.2
3,5,1.077959319,2666667,0.0333333,2.43e-08,2,4,1.243665012,8390.260608,10,1,2,0.2
18,6,-0.067318913,2666667,0.0333333,1.48e-08,2,4,1.664687775,7862.872736,10,1,2,0.2
2,7,-1.468335908,2666667,0.0333333,2.44e-08,2,4,0.723526153,8551.774462,10,1,2,0.2
21,8,-0.52653419,2666667,0.0333333,2.48e-08,2,4,0.46475521,7202.423325,10,1,2,0.2
9,9,-1.717867671,2666667,0.0333333,1.34e-08,2,4,1.361518942,7746.676778,10,1,2,0.2
13,10,-1.680100664,2666667,0.0333333,3.86e-08,2,4,0.668599739,8048.627977,10,1,2,0.2
11,11,-0.343988845,2666667,0.0333333,1.69e-08,2,4,0.913159909,7500.077816,10,1,2,0.2
15,12,-0.832801296,2666667,0.0333333,1.8e-08,2,4,1.270220905,8524.651869,10,1,2,0.2
5,13,2.50264923,2666667,0.0333333,2.04e-08,2,4,1.044607728,6788.392228,10,1,2,0.2
21,14,2.216626417,2666667,0.0333333,2.81e-08,2,4,0.964182974,7802.490603,10,1,2,0.2
12,15,-1.233180788,2666667,0.0333333,1.94e-08,2,4,0.623737725,7963.310459,10,1,2,0.2
18,16,-1.058091155,2666667,0.0333333,2.13e-08,2,4,0.831458994,9935.200758,10,1,2,0.2
17,17,-2.749052297,2666667,0.0333333,3.48e-08,2,4,1.379903352,9326.276213,10,1,2,0.2
12,18,-2.332817383,2666667,0.0333333,1.32e-08,2,4,1.995024615,8481.337059,10,1,2,0.2
11,19,-0.227523232,2666667,0.0333333,2.1e-08,2,4,0.897930283,8764.040413,10,1,2,0.2
12,20,-1.050376594,2666667,0.0333333,3.07e-08,2,4,0.495203266,8597.02269,10,1,2,0.2
14,21,3.326893338,2666667,0.0333333,3.04e-08,2,4,0.750161314,6011.908284,10,1,2,0.2
13,22,2.536540461,2666667,0.0333333,2.57e-08,2,4,1.63411216,10117.64081,10,1,2,0.2
16,23,-4.539535848,2666667,0.0333333,1.65e-08,2,4,0.743920984,6864.086487,10,1,2,0.2
19,24,0.873834635,2666667,0.0333333,3.61e-08,2,4,0.783751118,6691.685299,10,1,2,0.2
20,25,1.23619707,2666667,0.0333333,3.21e-08,2,4,0.741922025,10159.19708,10,1,2,0.2
19,26,0.278792891,2666667,0.0333333,4.16e-08,2,4,1.162795222,7570.773162,10,1,2,0.2
14,27,-0.136337429,2666667,0.0333333,4.53e-08,2,4,0.284046991,7524.788601,10,1,2,0.2
3,28,-1.648564609,2666667,0.0333333,2.63e-08,2,4,0.907606268,8182.494321,10,1,2,0.2
21,29,-0.21315526,2666667,0.0333333,3.25e-08,2,4,0.475279726,6771.362261,10,1,2,0.2
1,30,-2.36937427,2666667,0.0333333,1.49e-08,2,4,0.35065608,8133.711637,10,1,2,0.2
4,31,0.539710415,2666667,0.0333333,3.31e-08,2,4,0.902879055,7435.529586,10,1,2,0.2
15,32,2.344442223,2666667,0.0333333,3.47e-08,2,4,1.184482764,7200.375789,10,1,2,0.2
3,33,1.989216635,2666667,0.0333333,2.89e-08,2,4,0.627824598,7561.349278,10,1,2,0.2
21,34,0.867575708,2666667,0.0333333,2.09e-08,2,4,1.416777469,7769.409907,10,1,2,0.2
10,35,0.342207041,2666667,0.0333333,2.32e-08,2,4,1.203701903,8399.998867,10,1,2,0.2
3,36,-1.631524694,2666667,0.0333333,4.03e-08,2,4,0.510569012,8674.832907,10,1,2,0.2
11,37,-3.122267191,2666667,0.0333333,2.09e-08,2,4,1.114342817,6754.038332,10,1,2,0.2
21,38,1.824066401,2666667,0.0333333,3.23e-08,2,4,1.440706291,6910.856145,10,1,2,0.2
14,39,0.88531831,2666667,0.0333333,2.72e-08,2,4,0.605281722,7736.525593,10,1,2,0.2
7,40,-2.819541822,2666667,0.0333333,8.4e-09,2,4,1.583498499,7863.452635,10,1,2,0.2
17,41,0.359047105,2666667,0.0333333,2.16e-08,2,4,1.080705055,6848.319058,10,1,2,0.2
2,42,0.814594142,2666667,0.0333333,3.69e-08,2,4,0.684969514,9628.995538,10,1,2,0.2
7,43,-5.379743324,2666667,0.0333333,1.9e-08,2,4,0.984089987,6715.565826,10,1,2,0.2
6,44,-3.390976885,2666667,0.0333333,2.77e-08,2,4,0.971256353,7272.255886,10,1,2,0.2
2,45,-2.818532042,2666667,0.0333333,1.95e-08,2,4,2.013612399,8473.864837,10,1,2,0.2
7,46,-2.965757354,2666667,0.0333333,3.25e-08,2,4,1.798647535,7597.567955,10,1,2,0.2
8,47,-4.606324668,2666667,0.0333333,1.28e-08,2,4,1.588762328,7116.862276,10,1,2,0.2
2,48,-8.474400011,2666667,0.0333333,2.61e-08,2,4,1.343712596,6401.435497,10,1,2,0.2
7,49,-4.692082253,2666667,0.0333333,2.19e-08,2,4,1.385015104,10374.34139,10,1,2,0.2
9,50,-8.739924676,2666667,0.0333333,2.22e-08,2,4,0.645987874,5719.365171,10,1,2,0.2
9,51,-5.130564149,2666667,0.0333333,1.78e-08,2,4,0.967950963,8649.00129,10,1,2,0.2
16,52,-4.745488617,2666667,0.0333333,2.93e-08,2,4,1.187447581,6849.344144,10,1,2,0.2
2,53,-2.040146443,2666667,0.0333333,2.71e-08,2,4,1.494812574,7649.14329,10,1,2,0.2
6,54,-3.94519672,2666667,0.0333333,3.36e-08,2,4,1.485310033,6749.838795,10,1,2,0.2
11,55,-2.689696274,2666667,0.0333333,3.22e-08,2,4,1.943749861,8212.53379,10,1,2,0.2
19,56,-0.781191848,2666667,0.0333333,2.58e-08,2,4,1.612935643,8054.137525,10,1,2,0.2
10,57,-5.31274914,2666667,0.0333333,1.63e-08,2,4,0.92294726,7227.438312,10,1,2,0.2
20,58,-7.134286929,2666667,0.0333333,1.52e-08,2,4,0.634994517,8633.775637,10,1,2,0.2
4,59,-3.014164776,2666667,0.0333333,2.1e-08,2,4,1.617317667,6548.190063,10,1,2,0.2
16,60,-3.852631687,2666667,0.0333333,2.58e-08,2,4,1.254101144,7648.522234,10,1,2,0.2
