ID,eta_tin_mean,eta_tin_mode,eta_beta_mean,eta_beta_mode,eta_delta_mean,eta_delta_mode,eta_p_mean,eta_p_mode,split,color,filter
1,-0.0504939,-0.0443304,0.138659,0.139191,0.555479,0.632475,0.0431487,0.0213691,All,#4682B4,0
2,-0.0154743,-5.54605e-05,0.0680006,-0.000864399,-0.591545,-0.479489,0.00982763,-0.00015489,All,#4682B4,0
3,-0.0623947,-0.0528669,-0.196996,-0.269323,0.894564,0.935282,-0.0538652,-0.0443856,All,#4682B4,0
4,-0.0135748,-0.0148038,-0.0170417,-0.0414284,0.405659,0.517341,-0.0199133,-0.00811642,All,#4682B4,0
5,0.017811,0.0221182,-0.0262421,0.0370744,0.266935,0.367531,0.0273505,0.0089251,All,#4682B4,0
6,-0.0257074,-0.0168488,-0.083003,-0.0481655,0.565314,0.56104,-0.0217877,-0.00920862,All,#4682B4,0
7,-0.00539643,0.0109073,-0.0398835,0.030185,-0.272405,-0.153795,-0.00247052,0.00679632,All,#4682B4,0
8,0.0120982,0.0103333,0.0671045,0.0587241,-1.2289,-1.07555,0.00739001,0.01273,All,#4682B4,0
9,-0.0303099,-0.0309026,-0.123632,-0.178242,0.124974,0.1622,-0.0143357,-0.0309044,All,#4682B4,0
10,0.0191247,0.0229407,0.130921,0.0749641,-0.625274,-0.518288,-0.00694992,0.0173706,All,#4682B4,0
11,0.0226201,0.00158714,-0.0996345,0.00444373,-0.12259,-0.0123646,-0.00212758,0.000935476,All,#4682B4,0
12,-0.0257597,-0.027082,0.0126211,-0.113637,0.382024,0.419256,-0.0293508,-0.0203999,All,#4682B4,0
13,0.0411589,0.0245135,0.158387,0.0607251,-0.146547,-0.184105,0.000671256,0.0143291,All,#4682B4,0
14,0.0466816,0.0405436,0.0460066,0.0920863,-0.295012,-0.244291,0.0301943,0.0228952,All,#4682B4,0
15,0.00830921,0.00926116,0.0565882,0.044083,-0.887143,-0.821427,0.0182385,0.0097355,All,#4682B4,0
16,-0.0206155,-0.0255393,0.0760024,0.0940693,-0.278069,-0.248068,0.0215311,0.0201091,All,#4682B4,0
17,-0.0666619,-0.047948,0.16542,0.139865,0.537241,0.528306,-0.0137668,0.0207311,All,#4682B4,0
18,-0.0391885,-0.0405889,-0.0935601,-0.194956,0.876027,0.827357,-0.035675,-0.0326928,All,#4682B4,0
19,0.0162952,-0.00214234,-0.0301203,-0.00906646,-0.48755,-0.467124,0.0142629,-0.00188754,All,#4682B4,0
