rep,ID,eta_tin_simulated,eta_beta_simulated,eta_delta_simulated,eta_p_simulated,source,split,color,filter
1,1,-0.0836305,-0.102464,0.137819,-0.00721088,Neant,All,#4682B4,0
2,1,-0.0583531,-0.67726,0.170489,0.16828,Neant,All,#4682B4,0
3,1,-0.0357637,0.196286,0.724985,-0.0536042,Neant,All,#4682B4,0
4,1,-0.0357637,0.117642,0.732897,0.120352,Neant,All,#4682B4,0
5,1,-0.00740945,0.619262,0.556833,0.327748,Neant,All,#4682B4,0
6,1,-0.0428693,-0.361948,0.737122,0.27053,Neant,All,#4682B4,0
7,1,-0.0369426,-0.131553,0.422851,0.197714,Neant,All,#4682B4,0
8,1,-0.0815252,0.564673,1.26352,0.01891,Neant,All,#4682B4,0
9,1,-0.0423898,0.804723,0.513509,0.0619887,Neant,All,#4682B4,0
10,1,-0.049161,0.19825,0.57276,-0.021891,Neant,All,#4682B4,0
11,1,-0.049161,-0.106081,0.500418,0.173058,Neant,All,#4682B4,0
12,1,-0.0355636,0.414279,0.186388,0.0785277,Neant,All,#4682B4,0
13,1,-0.00529148,0.23101,0.96991,0.0250123,Neant,All,#4682B4,0
14,1,-0.0888985,0.644785,0.423473,0.0168531,Neant,All,#4682B4,0
15,1,-0.0559504,-0.1274,0.361902,-0.112469,Neant,All,#4682B4,0
16,1,-0.00113289,-0.186151,0.994184,0.179806,Neant,All,#4682B4,0
17,1,-0.0371351,0.0207223,0.510618,0.0302978,Neant,All,#4682B4,0
18,1,-0.0614719,0.413194,-0.0466831,0.0204346,Neant,All,#4682B4,0
19,1,-0.0647883,0.842837,0.384895,0.089137,Neant,All,#4682B4,0
20,1,-0.0575342,0.222283,0.42871,0.0742299,Neant,All,#4682B4,0
21,1,-0.0762019,0.182116,0.465398,-0.158612,Neant,All,#4682B4,0
1,2,0.0156507,-0.244789,-0.369939,-0.0979774,Neant,All,#4682B4,0
2,2,0.134118,0.350625,-0.290197,-0.234708,Neant,All,#4682B4,0
3,2,0.022527,-0.200952,-0.614206,0.101698,Neant,All,#4682B4,0
4,2,0.00399813,-0.336652,-0.554755,0.101698,Neant,All,#4682B4,0
5,2,-0.068317,0.0563841,-0.63585,-0.00765076,Neant,All,#4682B4,0
6,2,-0.162678,-0.0466495,-1.09113,-0.171719,Neant,All,#4682B4,0
7,2,-0.0574601,-0.434541,-0.689536,0.188814,Neant,All,#4682B4,0
8,2,0.0358443,-0.0265109,-0.920052,-0.0688532,Neant,All,#4682B4,0
9,2,-0.0141163,0.616631,-0.373675,0.0598815,Neant,All,#4682B4,0
10,2,-0.0141163,-0.0498062,-0.259397,0.0598815,Neant,All,#4682B4,0
11,2,0.0152225,0.524971,-0.294355,0.0312916,Neant,All,#4682B4,0
12,2,-0.0678516,0.384706,-0.521074,0.0263367,Neant,All,#4682B4,0
13,2,0.0430136,0.119982,-0.0274311,0.192897,Neant,All,#4682B4,0
14,2,0.0118076,0.275325,-0.205297,0.263895,Neant,All,#4682B4,0
15,2,-0.0369729,0.213819,-0.428358,0.0129888,Neant,All,#4682B4,0
16,2,-0.0717515,0.271567,-0.320141,-0.100112,Neant,All,#4682B4,0
17,2,-0.0458542,-0.112676,-0.532099,0.0444513,Neant,All,#4682B4,0
18,2,0.109164,0.0678917,-0.305403,0.0592626,Neant,All,#4682B4,0
19,2,0.109587,-0.0158498,-0.351556,-0.078961,Neant,All,#4682B4,0
20,2,0.0345689,0.351825,-0.393499,-0.153909,Neant,All,#4682B4,0
21,2,0.00815225,0.172588,-0.80679,-0.0567923,Neant,All,#4682B4,0
1,3,-0.0732918,0.366999,0.720943,-0.199501,Neant,All,#4682B4,0
2,3,-0.119299,-0.378754,0.752467,-0.189022,Neant,All,#4682B4,0
