beta_vs_delta_abscissa,beta_vs_delta_spline,beta_vs_delta_regression,beta_vs_p_abscissa,beta_vs_p_spline,beta_vs_p_regression,beta_vs_tin_abscissa,beta_vs_tin_spline,beta_vs_tin_regression,delta_vs_beta_abscissa,delta_vs_beta_spline,delta_vs_beta_regression,delta_vs_p_abscissa,delta_vs_p_spline,delta_vs_p_regression,delta_vs_tin_abscissa,delta_vs_tin_spline,delta_vs_tin_regression,p_vs_beta_abscissa,p_vs_beta_spline,p_vs_beta_regression,p_vs_delta_abscissa,p_vs_delta_spline,p_vs_delta_regression,p_vs_tin_abscissa,p_vs_tin_spline,p_vs_tin_regression,tin_vs_beta_abscissa,tin_vs_beta_spline,tin_vs_beta_regression,tin_vs_delta_abscissa,tin_vs_delta_spline,tin_vs_delta_regression,tin_vs_p_abscissa,tin_vs_p_spline,tin_vs_p_regression
-2.66476,-0.161482,-0.0138174,-0.503445,0.206452,-0.0371795,-0.215348,-0.363039,-0.0274659,-1.25549,0.186977,-0.0169681,-0.503445,0.286609,0.036626,-0.215348,-0.0820573,-0.0933158,-1.25549,0.00367232,-0.00952514,-2.66476,0.0263188,0.0111005,-0.215348,-0.130597,0.0228282,-1.25549,0.0145953,-0.00248202,-2.66476,0.00808014,-0.0103659,-0.503445,0.0397918,0.0156943
-2.62052,-0.171719,-0.0136478,-0.493407,0.148198,-0.0365134,-0.211122,-0.275028,-0.0270038,-1.23041,0.158659,-0.0166459,-0.493407,0.240434,0.0358818,-0.211122,-0.0587643,-0.0915259,-1.23041,0.00769534,-0.00928344,-2.62052,0.0222614,0.0109583,-0.211122,-0.0837022,0.0224353,-1.23041,0.00784707,-0.00237384,-2.62052,0.0081118,-0.0101453,-0.493407,0.0329084,0.0154408
-2.57628,-0.181956,-0.0134782,-0.483368,0.089944,-0.0358472,-0.206895,-0.191143,-0.0265417,-1.20533,0.13034,-0.0163237,-0.483368,0.19426,0.0351376,-0.206895,-0.0373613,-0.0897361,-1.20533,0.0117184,-0.00904174,-2.57628,0.018204,0.0108162,-0.206895,-0.0398212,0.0220425,-1.20533,0.0010988,-0.00226567,-2.57628,0.00814345,-0.0099247,-0.483368,0.0260251,0.0151874
-2.53205,-0.192193,-0.0133086,-0.47333,0.0316898,-0.0351811,-0.202669,-0.129967,-0.0260797,-1.18025,0.102021,-0.0160015,-0.47333,0.148085,0.0343934,-0.202669,-0.0258725,-0.0879463,-1.18025,0.0157414,-0.00880003,-2.53205,0.0141466,0.010674,-0.202669,-0.0122122,0.0216496,-1.18025,-0.00564948,-0.00215749,-2.53205,0.0081751,-0.00970411,-0.47333,0.0191417,0.0149339
-2.48781,-0.202431,-0.0131389,-0.463291,-0.0265644,-0.034515,-0.198442,-0.08365,-0.0256176,-1.15517,0.0737023,-0.0156794,-0.463291,0.10191,0.0336492,-0.198442,-0.0201466,-0.0861565,-1.15517,0.0197644,-0.00855833,-2.48781,0.0100892,0.0105319,-0.198442,0.00521694,0.0212567,-1.15517,-0.0123978,-0.00204931,-2.48781,0.00820676,-0.00948352,-0.463291,0.0122583,0.0146804
-2.44358,-0.212668,-0.0129693,-0.453253,-0.0848186,-0.0338488,-0.194216,-0.0478971,-0.0251555,-1.13009,0.0453836,-0.0153572,-0.453253,0.0557353,0.0329051,-0.194216,-0.0180308,-0.0843667,-1.13009,0.0237874,-0.00831663,-2.44358,0.00603173,0.0103897,-0.194216,0.0157226,0.0208639,-1.13009,-0.019146,-0.00194114,-2.44358,0.00823841,-0.00926293,-0.453253,0.00537492,0.0144269
-2.39934,-0.222905,-0.0127997,-0.443214,-0.143073,-0.0331827,-0.189989,-0.0236669,-0.0246934,-1.10501,0.0361668,-0.015035,-0.443214,0.00956057,0.0321609,-0.189989,-0.0191453,-0.0825769,-1.10501,0.0232021,-0.00807493,-2.39934,0.00197431,0.0102476,-0.189989,0.0191331,0.020471,-1.10501,-0.0213487,-0.00183296,-2.39934,0.00827006,-0.00904234,-0.443214,-0.00150846,0.0141735
-2.3551,-0.233142,-0.0126301,-0.433176,-0.156656,-0.0325165,-0.185763,-0.00691554,-0.0242314,-1.07994,0.0309774,-0.0147128,-0.433176,-0.00627005,0.0314167,-0.185763,-0.021817,-0.080787,-1.07994,0.0216452,-0.00783323,-2.3551,-0.00208311,0.0101054,-0.185763,0.0182863,0.0200782,-1.07994,-0.0225931,-0.00172478,-2.3551,0.00830172,-0.00882175,-0.433176,-0.00347891,0.01392
-2.31087,-0.243379,-0.0124605,-0.423137,-0.161164,-0.0318504,-0.181536,0.00114288,-0.0237693,-1.05486,0.025788,-0.0143906,-0.423137,-0.0159363,0.0306725,-0.181536,-0.0250218,-0.0789972,-1.05486,0.0200882,-0.00759152,-2.31087,-0.00614054,0.00996325,-0.181536,0.0133152,0.0196853,-1.05486,-0.0238374,-0.00161661,-2.31087,0.00833337,-0.00860116,-0.423137,-0.0044513,0.0136665
-2.26663,-0.240496,-0.0122908,-0.413099,-0.160329,-0.0311843,-0.17731,0.00502758,-0.0233072,-1.02978,0.0228649,-0.0140684,-0.413099,-0.0217813,0.0299283,-0.17731,-0.027526,-0.0772074,-1.02978,0.0178352,-0.00734982,-2.26663,-0.00857019,0.00982109,-0.17731,0.00698085,0.0192925,-1.02978,-0.0243407,-0.00150843,-2.26663,0.00743425,-0.00838057,-0.413099,-0.00477427,0.013413
