tin_abscissa,tin_cdf,beta_abscissa,beta_cdf,delta_abscissa,delta_cdf,p_abscissa,p_cdf,split
-14.7857,0,6.43044e-09,0.000793651,0.18251,0.000793651,3465.41,0,All
-9.17481,0.000793651,7.31491e-09,0.0015873,0.218873,0.0015873,4398.16,0.000793651,All
-9.16184,0.0015873,7.9693e-09,0.00238095,0.227707,0.00238095,4679.13,0.0015873,All
-9.01934,0.00238095,8.17072e-09,0.0031746,0.237642,0.0031746,4797.53,0.00238095,All
-8.95763,0.0031746,8.39851e-09,0.00396825,0.24098,0.00396825,4804.16,0.0031746,All
-8.90267,0.00396825,8.79105e-09,0.0047619,0.247872,0.0047619,4948.53,0.00396825,All
-8.90267,0.0047619,8.81867e-09,0.00555556,0.248715,0.00555556,5042.28,0.0047619,All
-8.81905,0.00555556,8.8473e-09,0.00634921,0.262817,0.00634921,5129.71,0.00555556,All
-8.73992,0.00634921,9.03538e-09,0.00714286,0.284047,0.00714286,5139.91,0.00634921,All
-8.7227,0.00714286,9.53055e-09,0.00793651,0.284093,0.00793651,5168.47,0.00714286,All
-8.60861,0.00793651,9.54886e-09,0.00873016,0.284349,0.00873016,5169.79,0.00793651,All
-8.49402,0.00873016,9.56475e-09,0.00952381,0.287715,0.00952381,5172.41,0.00873016,All
-8.49402,0.00952381,9.58748e-09,0.0103175,0.302342,0.0103175,5194,0.00952381,All
-8.4744,0.0103175,9.59136e-09,0.0111111,0.304866,0.0111111,5197.52,0.0103175,All
-8.43603,0.0111111,9.69274e-09,0.0119048,0.305694,0.0119048,5198.93,0.0111111,All
-8.38222,0.0119048,9.76199e-09,0.0126984,0.311132,0.0126984,5210.22,0.0119048,All
-8.32768,0.0126984,9.91332e-09,0.0134921,0.31558,0.0134921,5216.98,0.0126984,All
-8.3163,0.0134921,9.9475e-09,0.0142857,0.316238,0.0142857,5251.38,0.0134921,All
-8.3163,0.0142857,1.00247e-08,0.0150794,0.319717,0.0150794,5278.34,0.0142857,All
-8.30552,0.0150794,1.00398e-08,0.015873,0.328672,0.015873,5281.1,0.0150794,All
-8.2986,0.015873,1.00742e-08,0.0166667,0.329543,0.0166667,5289.69,0.015873,All
-8.24862,0.0166667,1.00931e-08,0.0174603,0.333844,0.0174603,5297,0.0166667,All
-8.24127,0.0174603,1.0122e-08,0.018254,0.338896,0.018254,5310.04,0.0174603,All
-8.24127,0.018254,1.03247e-08,0.0190476,0.343932,0.0190476,5324.29,0.018254,All
-8.09857,0.0190476,1.0368e-08,0.0198413,0.350656,0.0198413,5338.66,0.0190476,All
-8.04487,0.0198413,1.0417e-08,0.0206349,0.351524,0.0206349,5342.06,0.0198413,All
-7.89981,0.0206349,1.04379e-08,0.0214286,0.355948,0.0214286,5374.91,0.0206349,All
-7.88532,0.0214286,1.05078e-08,0.0222222,0.356419,0.0222222,5407.92,0.0214286,All
-7.80137,0.0222222,1.06058e-08,0.0230159,0.358756,0.0230159,5414.56,0.0222222,All
-7.75134,0.0230159,1.06324e-08,0.0238095,0.359025,0.0238095,5420.27,0.0230159,All
-7.73695,0.0238095,1.06755e-08,0.0246032,0.365462,0.0246032,5432.78,0.0238095,All
-7.579,0.0246032,1.07497e-08,0.0253968,0.368429,0.0253968,5451.51,0.0246032,All
-7.13429,0.0253968,1.07969e-08,0.0261905,0.372523,0.0261905,5456.33,0.0253968,All
-6.84418,0.0261905,1.0845e-08,0.0269841,0.373054,0.0269841,5473.43,0.0261905,All
-6.83257,0.0269841,1.08521e-08,0.0277778,0.376895,0.0277778,5497.72,0.0269841,All
-6.5783,0.0277778,1.08554e-08,0.0285714,0.377867,0.0285714,5498.05,0.0277778,All
-6.56493,0.0285714,1.08979e-08,0.0293651,0.379567,0.0293651,5508.1,0.0285714,All
-6.56063,0.0293651,1.09463e-08,0.0301587,0.381182,0.0301587,5508.1,0.0293651,All
-6.56044,0.0301587,1.09796e-08,0.0309524,0.385966,0.0309524,5551.49,0.0301587,All
-6.45248,0.0309524,1.10296e-08,0.031746,0.386682,0.031746,5555.02,0.0309524,All
-6.43035,0.031746,1.11089e-08,0.0325397,0.388525,0.0325397,5557.67,0.031746,All
-6.40033,0.0325397,1.12114e-08,0.0333333,0.398585,0.0333333,5561.54,0.0325397,All
-6.38227,0.0333333,1.14073e-08,0.034127,0.399213,0.034127,5563.32,0.0333333,All
-6.34983,0.034127,1.14275e-08,0.0349206,0.399653,0.0349206,5579.19,0.034127,All
-6.26541,0.0349206,1.14658e-08,0.0357143,0.40076,0.0357143,5610.74,0.0349206,All
-6.23096,0.0357143,1.16551e-08,0.0365079,0.400937,0.0365079,5618.3,0.0357143,All
-6.07897,0.0365079,1.16605e-08,0.0373016,0.401529,0.0373016,5621.21,0.0365079,All
-6.04468,0.0373016,1.17329e-08,0.0380952,0.402365,0.0380952,5624.69,0.0373016,All
-6.03455,0.0380952,1.17717e-08,0.0388889,0.40255,0.0388889,5625.83,0.0380952,All
-6.02,0.0388889,1.17849e-08,0.0396825,0.405451,0.0396825,5639.9,0.0388889,All
-6.00391,0.0396825,1.17889e-08,0.0404762,0.407337,0.0404762,5643.59,0.0396825,All
-5.99688,0.0404762,1.18021e-08,0.0412698,0.40926,0.0412698,5652.76,0.0404762,All
-5.91414,0.0412698,1.18189e-08,0.0420635,0.410061,0.0420635,5654.53,0.0412698,All
-5.87933,0.0420635,1.18643e-08,0.0428571,0.410712,0.0428571,5655.1,0.0420635,All
-5.8722,0.0428571,1.19079e-08,0.0436508,0.413742,0.0436508,5671.29,0.0428571,All
-5.78683,0.0436508,1.19267e-08,0.0444444,0.41392,0.0444444,5676.16,0.0436508,All
-5.77161,0.0444444,1.19362e-08,0.0452381,0.413975,0.0452381,5681.77,0.0444444,All
-5.76479,0.0452381,1.19676e-08,0.0460317,0.415253,0.0460317,5685.1,0.0452381,All
-5.7396,0.0460317,1.20303e-08,0.0468254,0.420115,0.0468254,5712.96,0.0460317,All
-5.7319,0.0468254,1.20554e-08,0.047619,0.425133,0.047619,5719.37,0.0468254,All
-5.68486,0.047619,1.21003e-08,0.0484127,0.426689,0.0484127,5728.09,0.047619,All
-5.66325,0.0484127,1.21198e-08,0.0492063,0.429087,0.0492063,5733.51,0.0484127,All
-5.62207,0.0492063,1.2121e-08,0.05,0.429325,0.05,5736.9,0.0492063,All
-5.62006,0.05,1.21394e-08,0.0507937,0.433593,0.0507937,5738.62,0.05,All
-5.60451,0.0507937,1.21643e-08,0.0515873,0.433918,0.0515873,5745.65,0.0507937,All
-5.54882,0.0515873,1.22362e-08,0.052381,0.434002,0.052381,5746.79,0.0515873,All
-5.54044,0.052381,1.22493e-08,0.0531746,0.434595,0.0531746,5748.56,0.052381,All
-5.53314,0.0531746,1.23135e-08,0.0539683,0.43511,0.0539683,5754.17,0.0531746,All
-5.53056,0.0539683,1.23237e-08,0.0547619,0.43649,0.0547619,5754.38,0.0539683,All
-5.52574,0.0547619,1.23273e-08,0.0555556,0.438917,0.0555556,5769.98,0.0547619,All
-5.51913,0.0555556,1.23356e-08,0.0563492,0.440904,0.0563492,5770.19,0.0555556,All
-5.51913,0.0563492,1.24403e-08,0.0571429,0.442358,0.0571429,5789.05,0.0563492,All
-5.50932,0.0571429,1.24621e-08,0.0579365,0.44369,0.0579365,5789.38,0.0571429,All
-5.50289,0.0579365,1.24923e-08,0.0587302,0.443743,0.0587302,5798.94,0.0579365,All
-5.49654,0.0587302,1.25013e-08,0.0595238,0.444285,0.0595238,5799.02,0.0587302,All
-5.46018,0.0595238,1.26289e-08,0.0603175,0.448191,0.0603175,5800.88,0.0595238,All
-5.39816,0.0603175,1.2629e-08,0.0611111,0.452359,0.0611111,5801.01,0.0603175,All
-5.39326,0.0611111,1.26306e-08,0.0619048,0.453141,0.0619048,5815.03,0.0611111,All
-5.37974,0.0619048,1.26574e-08,0.0626984,0.454919,0.0626984,5816.22,0.0619048,All
