tin_abscissa,tin_pdf,beta_abscissa,beta_pdf,delta_abscissa,delta_pdf,p_abscissa,p_pdf,split
-9.0008,0.0140634,7.34014e-09,1.79334e+06,0.20957,0.0452157,4502.1,3.92397e-06,All
-8.65279,0.0140634,9.15953e-09,7.17336e+06,0.26369,0.135647,4709.98,1.17719e-05,All
-8.30478,0.0257828,1.09789e-08,1.52434e+07,0.31781,0.180863,4917.85,3.92397e-06,All
-7.95677,0.0117195,1.27983e-08,2.55551e+07,0.371931,0.271294,5125.73,4.31637e-05,All
-7.60877,0.00703169,1.46177e-08,4.57301e+07,0.426051,0.527516,5333.6,5.49356e-05,All
-7.26076,0.0023439,1.64371e-08,4.93168e+07,0.480172,0.527516,5541.48,7.84795e-05,All
-6.91275,0.00468779,1.82565e-08,4.70751e+07,0.534292,0.678235,5749.35,0.000121643,All
-6.56474,0.0164073,2.00759e-08,6.00768e+07,0.588412,0.813882,5957.23,0.000164807,All
-6.21673,0.0140634,2.18953e-08,6.05252e+07,0.642533,0.753595,6165.1,0.000231515,All
-5.86872,0.0281267,2.37147e-08,4.07985e+07,0.696653,0.798811,6372.98,0.000255058,All
-5.52071,0.0539096,2.55341e-08,4.12468e+07,0.750773,1.0701,6580.85,0.00036493,All
-5.1727,0.0843802,2.73535e-08,3.18318e+07,0.804894,1.08518,6788.73,0.000400245,All
-4.82469,0.0726608,2.91728e-08,2.46584e+07,0.859014,0.934458,6996.6,0.00032569,All
-4.47668,0.0984436,3.09922e-08,2.10717e+07,0.913135,0.994745,7204.48,0.000349234,All
-4.12868,0.0796924,3.28116e-08,2.10717e+07,0.967255,1.00982,7412.35,0.000435561,All
-3.78067,0.100787,3.4631e-08,1.2105e+07,1.02138,0.813882,7620.23,0.00032569,All
-3.43266,0.112507,3.64504e-08,1.16567e+07,1.0755,0.813882,7828.1,0.000368854,All
-3.08465,0.142978,3.82698e-08,1.2105e+07,1.12962,0.889242,8035.98,0.00032569,All
-2.73664,0.103131,4.00892e-08,8.07002e+06,1.18374,0.94953,8243.85,0.000227591,All
-2.38863,0.13829,4.19086e-08,4.93168e+06,1.23786,0.813882,8451.73,0.000231515,All
-2.04062,0.124226,4.3728e-08,6.27669e+06,1.29198,0.55766,8659.6,0.000141263,All
-1.69261,0.192199,4.55474e-08,4.48335e+06,1.3461,0.889242,8867.48,0.000156959,All
-1.3446,0.194543,4.73668e-08,2.24167e+06,1.40022,0.512444,9075.35,7.84795e-05,All
-0.996595,0.178136,4.91862e-08,3.13834e+06,1.45434,0.422013,9283.23,7.06315e-05,All
-0.648586,0.206263,5.10056e-08,1.345e+06,1.50846,0.512444,9491.1,3.92397e-05,All
-0.300577,0.164073,5.28249e-08,2.24167e+06,1.56258,0.346654,9698.98,4.31637e-05,All
0.0474324,0.192199,5.46443e-08,0,1.6167,0.437085,9906.85,3.13918e-05,All
0.395441,0.13829,5.64637e-08,896669,1.67082,0.31651,10114.7,2.35438e-05,All
0.74345,0.121883,5.82831e-08,1.345e+06,1.72494,0.24115,10322.6,1.56959e-05,All
1.09146,0.0914119,6.01025e-08,0,1.77906,0.226078,10530.5,0,All
1.43947,0.0726608,6.19219e-08,0,1.83318,0.120575,10738.4,7.84795e-06,All
1.78748,0.0585974,6.37413e-08,0,1.8873,0.0904314,10946.2,0,All
2.13549,0.044534,6.55607e-08,0,1.94142,0.0602876,11154.1,3.92397e-06,All
2.4835,0.023439,6.73801e-08,448335,1.99554,0.0452157,11362,3.92397e-06,All
2.8315,0.0023439,6.91995e-08,0,2.04966,0.0602876,11569.9,0,All
3.17951,0.023439,7.10189e-08,448335,2.10378,0.0452157,11777.7,3.92397e-06,All
