tin_abscissa,tin_pdf,tin_cdf,beta_abscissa,beta_pdf,beta_cdf,delta_abscissa,delta_pdf,delta_cdf,p_abscissa,p_pdf,p_cdf,split
-14.7857,1.07195e-13,1.78912e-14,6.43044e-09,810972,0.000567706,0.18251,0.00401234,5.39353e-05,3465.41,1.20711e-09,1.11806e-07,All
-14.5394,4.48221e-13,7.67691e-14,7.09204e-09,1.63625e+06,0.00135418,0.20219,0.0107404,0.000191782,3584.73,3.85855e-09,3.86179e-07,All
-14.2931,1.79066e-12,3.16311e-13,7.75364e-09,2.93097e+06,0.00283654,0.22187,0.0225284,0.000509986,3704.05,1.12589e-08,1.21667e-06,All
-14.0468,6.83601e-12,1.2472e-12,8.41523e-09,4.77382e+06,0.00535365,0.24155,0.0402348,0.00111745,3823.38,3.02132e-08,3.52298e-06,All
-13.8006,2.49534e-11,4.70557e-12,9.07683e-09,7.19698e+06,0.0092816,0.26123,0.0641935,0.00213476,3942.7,7.50611e-08,9.43928e-06,All
-13.5543,8.71575e-11,1.69977e-11,9.73843e-09,1.01804e+07,0.0150006,0.28091,0.0942822,0.00368441,4062.02,1.73678e-07,2.35453e-05,All
-13.308,2.91498e-10,5.88263e-11,1.04e-08,1.3655e+07,0.0228608,0.30059,0.130032,0.00588291,4181.34,3.76288e-07,5.49781e-05,All
-13.0617,9.34163e-10,1.95197e-10,1.10616e-08,1.75128e+07,0.0331535,0.32027,0.170738,0.00883504,4300.67,7.67094e-07,0.000120767,All
-12.8155,2.87052e-09,6.21442e-10,1.17232e-08,2.16202e+07,0.0460889,0.339951,0.215559,0.0126302,4419.99,1.47787e-06,0.000250686,All
-12.5692,8.46314e-09,1.89958e-09,1.23848e-08,2.58319e+07,0.0617842,0.359631,0.263592,0.0173406,4539.31,2.70154e-06,0.000493755,All
-12.3229,2.39558e-08,5.57871e-09,1.30464e-08,3.00041e+07,0.0802607,0.379311,0.313931,0.0230204,4658.63,4.70274e-06,0.000926217,All
-12.0766,6.51424e-08,1.57514e-08,1.3708e-08,3.40043e+07,0.101447,0.398991,0.365703,0.0297064,4777.95,7.82146e-06,0.00166039,All
-11.8304,1.70275e-07,4.27851e-08,1.43696e-08,3.77183e+07,0.125192,0.418671,0.4181,0.0374186,4897.28,1.24662e-05,0.00285339,All
-11.5841,4.28078e-07,1.11874e-07,1.50312e-08,4.10552e+07,0.151273,0.438351,0.470391,0.0461622,5016.6,1.90937e-05,0.00471422,All
-11.3378,1.03568e-06,2.81773e-07,1.56928e-08,4.39478e+07,0.179418,0.458031,0.521929,0.0559284,5135.92,2.81745e-05,0.00750761,All
-11.0915,2.41267e-06,6.84018e-07,1.63544e-08,4.63531e+07,0.209317,0.477712,0.572154,0.0666968,5255.24,4.01463e-05,0.011553,All
-10.8453,5.41471e-06,1.60139e-06,1.7016e-08,4.825e+07,0.240639,0.497392,0.620593,0.0784368,5374.56,5.53594e-05,0.0172174,All
-10.599,1.17135e-05,3.61781e-06,1.76776e-08,4.96366e+07,0.273048,0.517072,0.666853,0.0911092,5493.89,7.40207e-05,0.0249016,All
-10.3527,2.44375e-05,7.89171e-06,1.83392e-08,5.05268e+07,0.306209,0.536752,0.710616,0.104668,5613.21,9.61446e-05,0.0350201,All
-10.1064,4.91936e-05,1.66315e-05,1.90008e-08,5.0947e+07,0.339801,0.556432,0.751633,0.119061,5732.53,0.000121519,0.0479756,All
-9.86016,9.56006e-05,3.38827e-05,1.96624e-08,5.09328e+07,0.373526,0.576112,0.789718,0.134233,5851.85,0.000149688,0.0641313,All
-9.61388,0.000179445,6.67684e-05,2.0324e-08,5.05262e+07,0.407109,0.595792,0.824737,0.150125,5971.18,0.000179966,0.083782,All
-9.36761,0.000325487,0.00012734,2.09856e-08,4.97726e+07,0.440305,0.615473,0.856606,0.166674,6090.5,0.000211467,0.107128,All
-9.12133,0.000570803,0.000235193,2.16472e-08,4.8719e+07,0.472901,0.635153,0.885282,0.18382,6209.82,0.000243158,0.134255,All
-8.87506,0.000968282,0.000420929,2.23088e-08,4.74123e+07,0.504714,0.654833,0.910759,0.201498,6329.14,0.00027393,0.16512,All
-8.62878,0.00158963,0.000730442,2.29704e-08,4.58976e+07,0.535591,0.674513,0.93306,0.219647,6448.46,0.00030267,0.199546,All
-8.38251,0.0025269,0.00122978,2.3632e-08,4.42176e+07,0.565409,0.694193,0.952235,0.238203,6567.79,0.00032834,0.237228,All
-8.13624,0.00389129,0.00201009,2.42936e-08,4.24116e+07,0.594072,0.713873,0.968353,0.257107,6687.11,0.00035004,0.277744,All
-7.88996,0.00580809,0.00319177,2.49552e-08,4.05154e+07,0.621508,0.733553,0.981503,0.276298,6806.43,0.000367062,0.320577,All
-7.64369,0.00840679,0.00492687,2.56168e-08,3.85609e+07,0.647669,0.753233,0.991787,0.29572,6925.75,0.000378925,0.365136,All
-7.39741,0.0118062,0.00739835,2.62784e-08,3.65761e+07,0.672525,0.772914,0.999319,0.315317,7045.08,0.000385391,0.41079,All
-7.15114,0.0160955,0.0108152,2.694e-08,3.45852e+07,0.696065,0.792594,1.00422,0.335037,7164.4,0.000386461,0.456893,All
-6.90486,0.0213133,0.0154026,2.76016e-08,3.26086e+07,0.718291,0.812274,1.00662,0.354827,7283.72,0.000382355,0.502811,All
-6.65859,0.0274276,0.0213869,2.82631e-08,3.06637e+07,0.739219,0.831954,1.00664,0.374642,7403.04,0.000373481,0.54795,All
-6.41231,0.0343223,0.0289764,2.89247e-08,2.87644e+07,0.758875,0.851634,1.00443,0.394434,7522.36,0.000360394,0.591772,All
-6.16604,0.0417918,0.0383397,2.95863e-08,2.6922e+07,0.777293,0.871314,1.00012,0.414162,7641.69,0.000343754,0.633814,All
-5.91976,0.0495499,0.0495848,3.02479e-08,2.51452e+07,0.794513,0.890994,0.99384,0.433786,7761.01,0.000324275,0.673694,All
-5.67349,0.0572525,0.062741,3.09095e-08,2.34406e+07,0.810581,0.910675,0.985733,0.453268,7880.33,0.000302692,0.711117,All
-5.42721,0.064535,0.0777499,3.15711e-08,2.18127e+07,0.825546,0.930355,0.975928,0.472574,7999.65,0.000279719,0.745875,All
-5.18094,0.0710601,0.0944653,3.22327e-08,2.02646e+07,0.839461,0.950035,0.964555,0.491671,8118.98,0.000256021,0.777842,All
-4.93466,0.0765718,0.112667,3.28943e-08,1.87978e+07,0.852378,0.969715,0.951743,0.51053,8238.3,0.000232194,0.806968,All
-4.68839,0.0809463,0.132087,3.35559e-08,1.74127e+07,0.864352,0.989395,0.937615,0.529123,8357.62,0.000208751,0.833269,All
-4.44211,0.0842329,0.152447,3.42175e-08,1.61086e+07,0.875436,1.00908,0.922289,0.547426,8476.94,0.000186113,0.856817,All
-4.19584,0.0866755,0.173506,3.48791e-08,1.48843e+07,0.885684,1.02876,0.905882,0.565417,8596.26,0.00016461,0.877729,All
-3.94956,0.0887065,0.195105,3.55407e-08,1.37377e+07,0.895148,1.04844,0.888504,0.583076,8715.59,0.000144485,0.896155,All
-3.70329,0.0909116,0.217212,3.62023e-08,1.26663e+07,0.903878,1.06812,0.870261,0.600384,8834.91,0.000125898,0.912271,All
-3.45701,0.0939606,0.239953,3.68639e-08,1.16674e+07,0.911924,1.0878,0.851256,0.617325,8954.23,0.000108938,0.926265,All
-3.21074,0.0985135,0.263616,3.75255e-08,1.07378e+07,0.919332,1.10748,0.831585,0.633885,9073.55,9.36354e-05,0.938334,All
-2.96446,0.105109,0.288644,3.81871e-08,9.87412e+06,0.926147,1.12716,0.811341,0.650052,9192.87,7.99692e-05,0.948675,All
-2.71819,0.114053,0.315581,3.88487e-08,9.07308e+06,0.932411,1.14684,0.79061,0.665816,9312.2,6.78806e-05,0.957481,All
-2.47191,0.125324,0.345013,3.95103e-08,8.33121e+06,0.938165,1.16652,0.769476,0.681168,9431.52,5.72825e-05,0.964934,All
-2.22564,0.13852,0.377469,4.01719e-08,7.64506e+06,0.943447,1.1862,0.748017,0.696101,9550.84,4.80682e-05,0.971206,All
-1.97936,0.152859,0.413335,4.08335e-08,7.01126e+06,0.948293,1.20588,0.726306,0.710609,9670.16,4.01196e-05,0.976456,All
-1.73309,0.167232,0.452763,4.14951e-08,6.42647e+06,0.952735,1.22556,0.704414,0.724687,9789.49,3.33131e-05,0.980826,All
-1.48681,0.180333,0.495601,4.21567e-08,5.88748e+06,0.956806,1.24524,0.682406,0.738334,9908.81,2.75249e-05,0.984446,All
-1.24054,0.190813,0.54137,4.28183e-08,5.39119e+06,0.960535,1.26492,0.660341,0.751547,10028.1,2.26349e-05,0.98743,All
-0.994264,0.197469,0.589271,4.34799e-08,4.93463e+06,0.963949,1.2846,0.638278,0.764325,10147.5,1.85292e-05,0.989879,All
-0.747989,0.199407,0.638245,4.41415e-08,4.51497e+06,0.967073,1.30428,0.61627,0.77667,10266.8,1.51022e-05,0.991879,All
-0.501714,0.196172,0.687063,4.48031e-08,4.12951e+06,0.96993,1.32396,0.594366,0.788582,10386.1,1.22577e-05,0.993506,All
-0.255439,0.187807,0.734447,4.54647e-08,3.77573e+06,0.972544,1.34364,0.572611,0.800065,10505.4,9.90913e-06,0.994824,All
-0.00916418,0.174841,0.779188,4.61263e-08,3.45122e+06,0.974933,1.36332,0.551048,0.811122,10624.7,7.97975e-06,0.995888,All
0.237111,0.158199,0.820262,4.67879e-08,3.15375e+06,0.977116,1.383,0.529717,0.821756,10744.1,6.40234e-06,0.996742,All
0.483386,0.139073,0.856905,4.74495e-08,2.88121e+06,0.979111,1.40268,0.508652,0.831973,10863.4,5.11857e-06,0.997427,All
0.72966,0.118755,0.888665,4.81111e-08,2.63164e+06,0.980934,1.42236,0.487888,0.841779,10982.7,4.07831e-06,0.997974,All
0.975935,0.0984806,0.915402,4.87727e-08,2.40321e+06,0.982598,1.44204,0.467453,0.851179,11102,3.23887e-06,0.998408,All
1.22221,0.0793006,0.937262,4.94343e-08,2.19422e+06,0.984118,1.46172,0.447375,0.86018,11221.4,2.56415e-06,0.998753,All
1.46849,0.0619982,0.954616,5.00959e-08,2.00308e+06,0.985506,1.4814,0.427678,0.86879,11340.7,2.02389e-06,0.999026,All
1.71476,0.0470558,0.967994,5.07575e-08,1.82834e+06,0.986772,1.50108,0.408385,0.877016,11460,1.59285e-06,0.99924,All
1.96103,0.0346687,0.978004,5.1419e-08,1.66864e+06,0.987928,1.52076,0.389514,0.884867,11579.3,1.25014e-06,0.999409,All
