pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4.20758,0.000110485,-4,0,All
-2.31326,0.00232019,-3.62296,0.00022097,-2.22449,0.00232019,All
-2.25361,0.00464037,-3.61108,0.000331455,-2.14613,0.00464037,All
-1.7394,0.00696056,-3.41908,0.00044194,-1.95818,0.00696056,All
-1.69179,0.00928074,-3.40947,0.000552425,-1.62385,0.00928074,All
-1.56315,0.0116009,-3.2841,0.00066291,-1.50977,0.0116009,All
-1.46337,0.0139211,-3.27748,0.000773395,-1.44059,0.0139211,All
-1.4283,0.0162413,-3.24809,0.00088388,-1.43195,0.0162413,All
-1.33487,0.0185615,-3.20407,0.000994365,-1.30218,0.0185615,All
-1.32508,0.0208817,-3.1817,0.00110485,-1.28661,0.0208817,All
-1.31823,0.0232019,-3.14504,0.00121534,-1.28069,0.0232019,All
-1.25253,0.025522,-3.12553,0.00132582,-1.27204,0.025522,All
-1.24725,0.0278422,-3.01842,0.00143631,-1.25714,0.0278422,All
-1.23751,0.0301624,-2.9354,0.00154679,-1.23372,0.0301624,All
-1.23356,0.0324826,-2.92559,0.00165728,-1.20627,0.0324826,All
-1.21899,0.0348028,-2.8612,0.00176776,-1.20302,0.0348028,All
-1.21048,0.037123,-2.86101,0.00187825,-1.13814,0.037123,All
-1.16836,0.0394432,-2.85765,0.00198873,-1.11687,0.0394432,All
-1.14385,0.0417633,-2.85168,0.00209922,-1.1123,0.0417633,All
-1.11543,0.0440835,-2.84686,0.0022097,-1.08766,0.0440835,All
-1.10751,0.0464037,-2.8326,0.00232019,-1.0719,0.0464037,All
-1.08152,0.0487239,-2.79462,0.00243067,-1.06309,0.0487239,All
-1.0466,0.0510441,-2.79348,0.00254116,-1.03882,0.0510441,All
-1.02108,0.0533643,-2.71637,0.00265164,-1.03201,0.0533643,All
-1.01824,0.0556845,-2.71538,0.00276213,-1.01139,0.0556845,All
-1.01171,0.0580046,-2.70197,0.00287261,-1.01081,0.0580046,All
-0.992413,0.0603248,-2.6736,0.0029831,-0.99899,0.0603248,All
-0.987866,0.062645,-2.66642,0.00309358,-0.979936,0.062645,All
-0.934654,0.0649652,-2.64919,0.00320407,-0.949345,0.0649652,All
-0.921735,0.0672854,-2.63336,0.00331455,-0.939094,0.0672854,All
-0.913536,0.0696056,-2.62184,0.00342504,-0.913232,0.0696056,All
-0.913287,0.0719258,-2.60605,0.00353552,-0.909099,0.0719258,All
-0.882974,0.0742459,-2.5998,0.00364601,-0.902841,0.0742459,All
-0.849921,0.0765661,-2.56545,0.00375649,-0.899602,0.0765661,All
-0.849294,0.0788863,-2.56516,0.00386698,-0.882386,0.0788863,All
-0.849085,0.0812065,-2.55564,0.00397746,-0.874074,0.0812065,All
-0.842164,0.0835267,-2.52442,0.00408795,-0.870719,0.0835267,All
-0.834567,0.0858469,-2.51461,0.00419843,-0.861245,0.0858469,All
