pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.19124,0.0199195,-4.16635,0.0013539,-2.10853,0.0209615,All
-1.94719,0,-4.08389,0,-1.87662,0.0104808,All
-1.70314,0.0199195,-4.00144,0,-1.6447,0.0104808,All
-1.45909,0.0298793,-3.91898,0,-1.41278,0.041923,All
-1.21504,0.129477,-3.83653,0,-1.18086,0.125769,All
-0.970991,0.149396,-3.75407,0,-0.948947,0.230577,All
-0.726942,0.358551,-3.67162,0,-0.717029,0.356346,All
-0.482892,0.557747,-3.58916,0.0027078,-0.485112,0.607884,All
-0.238843,0.507948,-3.50671,0,-0.253194,0.597403,All
0.00520562,0.697183,-3.42425,0.0027078,-0.021277,0.723172,All
0.249255,0.587626,-3.3418,0,0.21064,0.534519,All
0.493304,0.358551,-3.25934,0.0040617,0.442558,0.335384,All
0.737353,0.278873,-3.17689,0.0040617,0.674475,0.2725,All
0.981402,0.169316,-3.09443,0.0013539,0.906393,0.13625,All
1.22545,0.209155,-3.01198,0.0013539,1.13831,0.167692,All
1.4695,0.0298793,-2.92952,0.0027078,1.37023,0.104808,All
1.71355,0.0896379,-2.84707,0.00812339,1.60214,0.041923,All
1.9576,0.0597586,-2.76461,0.0027078,1.83406,0.0838461,All
2.20165,0.0199195,-2.68216,0.00812339,2.06598,0.0314423,All
2.4457,0.00995976,-2.5997,0.00812339,2.2979,0.041923,All
2.68975,0.00995976,-2.51725,0.0108312,2.52981,0.041923,All
,,-2.43479,0.0243702,,,All
,,-2.35234,0.0108312,,,All
,,-2.26988,0.0189546,,,All
,,-2.18742,0.0324936,,,All
,,-2.10497,0.0352014,,,All
,,-2.02251,0.054156,,,All
,,-1.94006,0.0528021,,,All
,,-1.8576,0.0893573,,,All
,,-1.77515,0.0907112,,,All
,,-1.69269,0.0907112,,,All
,,-1.61024,0.121851,,,All
,,-1.52778,0.136744,,,All
,,-1.44533,0.146221,,,All
,,-1.36287,0.170591,,,All
,,-1.28042,0.152991,,,All
,,-1.19796,0.219332,,,All
,,-1.11551,0.21527,,,All
,,-1.03305,0.262656,,,All
,,-0.950598,0.236932,,,All
,,-0.868143,0.280257,,,All
,,-0.785688,0.312751,,,All
,,-0.703233,0.335767,,,All
,,-0.620778,0.339829,,,All
,,-0.538322,0.333059,,,All
,,-0.455867,0.342536,,,All
,,-0.373412,0.388569,,,All
,,-0.290957,0.403462,,,All
,,-0.208502,0.414293,,,All
,,-0.126047,0.377738,,,All
,,-0.0435917,0.385861,,,All
,,0.0388635,0.427832,,,All
,,0.121319,0.442725,,,All
,,0.203774,0.357429,,,All
,,0.286229,0.398046,,,All
,,0.368684,0.35066,,,All
,,0.451139,0.353368,,,All
,,0.533594,0.372322,,,All
,,0.616049,0.318166,,,All
,,0.698504,0.291088,,,All
,,0.78096,0.278903,,,All
,,0.863415,0.258595,,,All
,,0.94587,0.238286,,,All
,,1.02832,0.249117,,,All
,,1.11078,0.253179,,,All
,,1.19324,0.188192,,,All
,,1.27569,0.193608,,,All
,,1.35815,0.169237,,,All
,,1.4406,0.124559,,,All
,,1.52306,0.10425,,,All
,,1.60551,0.0974807,,,All
,,1.68797,0.0880034,,,All
,,1.77042,0.0920651,,,All
,,1.85288,0.0704028,,,All
,,1.93533,0.0528021,,,All
,,2.01779,0.0528021,,,All
,,2.10024,0.0528021,,,All
,,2.1827,0.0487404,,,All
,,2.26515,0.0338475,,,All
,,2.34761,0.0311397,,,All
,,2.43006,0.0257241,,,All
,,2.51252,0.0148929,,,All
,,2.59497,0.0176007,,,All
,,2.67743,0.0176007,,,All
,,2.75988,0.00947729,,,All
,,2.84234,0.0108312,,,All
,,2.92479,0.0067695,,,All
,,3.00725,0.0054156,,,All
,,3.0897,0.0054156,,,All
,,3.17216,0.0040617,,,All
,,3.25461,0.0040617,,,All
,,3.33707,0.0040617,,,All
,,3.41952,0,,,All
,,3.50198,0.0013539,,,All
,,3.58443,0,,,All
,,3.66689,0.0027078,,,All
