standEta_tin_abscissa,standEta_tin_cdf,standEta_beta_abscissa,standEta_beta_cdf,standEta_delta_abscissa,standEta_delta_cdf,standEta_p_abscissa,standEta_p_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-3.00922,0.000793651,-3.25463,0.000793651,-3.87217,0.000793651,-3.51458,0.000793651,All
-2.99965,0.0015873,-2.91824,0.0015873,-3.3227,0.0015873,-3.08227,0.0015873,All
-2.89467,0.00238095,-2.69442,0.00238095,-3.21392,0.00238095,-2.90783,0.00238095,All
-2.84926,0.0031746,-2.62919,0.0031746,-3.09984,0.0031746,-2.89818,0.0031746,All
-2.81479,0.00396825,-2.55731,0.00396825,-3.06327,0.00396825,-2.69148,0.00396825,All
-2.80885,0.0047619,-2.43787,0.0047619,-2.99027,0.0047619,-2.56046,0.0047619,All
-2.80885,0.00555556,-2.42966,0.00555556,-2.98157,0.00555556,-2.44046,0.00555556,All
-2.74741,0.00634921,-2.42118,0.00634921,-2.84246,0.00634921,-2.42659,0.00634921,All
-2.69633,0.00714286,-2.36616,0.00714286,-2.65304,0.00714286,-2.38791,0.00714286,All
-2.68933,0.00793651,-2.22655,0.00793651,-2.65266,0.00793651,-2.38612,0.00793651,All
-2.67669,0.00873016,-2.22153,0.00873016,-2.6505,0.00873016,-2.38258,0.00873016,All
-2.61262,0.00952381,-2.21718,0.00952381,-2.62241,0.00952381,-2.35351,0.00952381,All
-2.59305,0.0103175,-2.21097,0.0103175,-2.50551,0.0103175,-2.34878,0.0103175,All
-2.57971,0.0111111,-2.20991,0.0111111,-2.48614,0.0111111,-2.34689,0.0111111,All
-2.56634,0.0119048,-2.18238,0.0119048,-2.47983,0.0119048,-2.33174,0.0119048,All
-2.50915,0.0126984,-2.16375,0.0126984,-2.43898,0.0126984,-2.3227,0.0126984,All
-2.50915,0.0134921,-2.12347,0.0134921,-2.40628,0.0134921,-2.27682,0.0134921,All
-2.4948,0.0142857,-2.11446,0.0142857,-2.40149,0.0142857,-2.24106,0.0142857,All
-2.46674,0.0150794,-2.09421,0.0150794,-2.37642,0.0150794,-2.23741,0.0150794,All
-2.4274,0.015873,-2.09029,0.015873,-2.3135,0.015873,-2.22606,0.015873,All
-2.42644,0.0166667,-2.08133,0.0166667,-2.30751,0.0166667,-2.21643,0.0166667,All
-2.38945,0.0174603,-2.07641,0.0174603,-2.27819,0.0174603,-2.19927,0.0174603,All
-2.38756,0.018254,-2.06892,0.018254,-2.24438,0.018254,-2.18056,0.018254,All
-2.37925,0.0190476,-2.017,0.0190476,-2.21131,0.0190476,-2.16174,0.0190476,All
-2.37925,0.0198413,-2.00604,0.0198413,-2.16811,0.0198413,-2.15729,0.0198413,All
-2.37613,0.0206349,-1.99369,0.0206349,-2.16261,0.0206349,-2.1145,0.0206349,All
-2.37138,0.0214286,-1.98843,0.0214286,-2.13485,0.0214286,-2.07175,0.0214286,All
-2.36632,0.0222222,-1.97096,0.0222222,-2.13192,0.0222222,-2.06318,0.0222222,All
-2.33296,0.0230159,-1.94662,0.0230159,-2.11745,0.0230159,-2.05582,0.0230159,All
-2.32984,0.0238095,-1.94005,0.0238095,-2.11579,0.0238095,-2.03973,0.0238095,All
-2.32448,0.0246032,-1.92945,0.0246032,-2.07658,0.0246032,-2.01571,0.0246032,All
-2.32448,0.0253968,-1.91131,0.0253968,-2.05879,0.0253968,-2.00954,0.0253968,All
-2.27321,0.0261905,-1.89983,0.0261905,-2.03453,0.0261905,-1.98769,0.0261905,All
-2.22043,0.0269841,-1.88818,0.0269841,-2.03141,0.0269841,-1.95678,0.0269841,All
-2.21676,0.0277778,-1.88646,0.0277778,-2.00898,0.0277778,-1.95636,0.0277778,All
-2.19641,0.0285714,-1.88568,0.0285714,-2.00335,0.0285714,-1.94361,0.0285714,All
-2.18132,0.0293651,-1.87543,0.0293651,-1.99354,0.0293651,-1.94361,0.0293651,All
-2.11553,0.0301587,-1.86381,0.0301587,-1.98428,0.0301587,-1.88883,0.0301587,All
-2.09089,0.0309524,-1.85586,0.0309524,-1.95711,0.0309524,-1.88439,0.0309524,All
-2.07588,0.031746,-1.84395,0.031746,-1.95308,0.031746,-1.88107,0.031746,All
-2.07578,0.0325397,-1.82516,0.0325397,-1.94274,0.0325397,-1.87621,0.0325397,All
-2.06741,0.0333333,-1.80107,0.0333333,-1.88733,0.0333333,-1.87397,0.0333333,All
-2.06525,0.034127,-1.75567,0.034127,-1.88393,0.034127,-1.85409,0.034127,All
-2.00424,0.0349206,-1.75103,0.0349206,-1.88155,0.0349206,-1.81472,0.0349206,All
-1.99235,0.0357143,-1.74226,0.0357143,-1.87556,0.0357143,-1.80532,0.0357143,All
-1.96792,0.0365079,-1.6993,0.0365079,-1.87461,0.0365079,-1.80171,0.0365079,All
-1.95747,0.0373016,-1.69809,0.0373016,-1.87142,0.0373016,-1.79739,0.0373016,All
-1.95276,0.0380952,-1.68185,0.0380952,-1.86694,0.0380952,-1.79597,0.0380952,All
-1.93273,0.0388889,-1.67318,0.0388889,-1.86594,0.0388889,-1.77854,0.0388889,All
-1.92005,0.0396825,-1.67025,0.0396825,-1.85045,0.0396825,-1.77397,0.0396825,All
-1.91992,0.0404762,-1.66936,0.0404762,-1.84045,0.0404762,-1.76264,0.0404762,All
-1.88411,0.0412698,-1.66644,0.0412698,-1.83031,0.0412698,-1.76044,0.0412698,All
-1.85798,0.0420635,-1.66271,0.0420635,-1.8261,0.0420635,-1.75975,0.0420635,All
-1.85028,0.0428571,-1.65265,0.0428571,-1.82269,0.0428571,-1.73978,0.0428571,All
-1.84292,0.0436508,-1.64301,0.0436508,-1.80689,0.0436508,-1.7338,0.0436508,All
-1.82938,0.0444444,-1.63888,0.0444444,-1.80596,0.0444444,-1.7269,0.0444444,All
-1.82656,0.0452381,-1.63679,0.0452381,-1.80567,0.0452381,-1.72281,0.0452381,All
-1.82397,0.0460317,-1.62989,0.0460317,-1.79906,0.0460317,-1.68868,0.0460317,All
-1.81773,0.0468254,-1.61619,0.0468254,-1.77408,0.0468254,-1.68086,0.0468254,All
-1.80837,0.047619,-1.61072,0.047619,-1.74865,0.047619,-1.67021,0.047619,All
-1.80018,0.0484127,-1.60096,0.0484127,-1.74083,0.0484127,-1.66361,0.0484127,All
-1.77672,0.0492063,-1.59673,0.0492063,-1.72885,0.0492063,-1.65949,0.0492063,All
-1.76883,0.05,-1.59649,0.05,-1.72767,0.05,-1.65739,0.05,All
-1.76454,0.0507937,-1.59249,0.0507937,-1.70654,0.0507937,-1.64885,0.0507937,All
-1.73792,0.0515873,-1.58712,0.0515873,-1.70494,0.0515873,-1.64746,0.0515873,All
-1.70606,0.052381,-1.57164,0.052381,-1.70453,0.052381,-1.64531,0.052381,All
-1.69682,0.0531746,-1.56883,0.0531746,-1.70161,0.0531746,-1.63851,0.0531746,All
-1.67028,0.0539683,-1.55513,0.0539683,-1.69909,0.0539683,-1.63826,0.0539683,All
