standEta_tin_abscissa,standEta_tin_pdf,standEta_beta_abscissa,standEta_beta_pdf,standEta_delta_abscissa,standEta_delta_pdf,standEta_p_abscissa,standEta_p_pdf,split
-2.92801,0.0200893,-3.16523,0.00456243,-3.78379,0.00461448,-3.41822,0.0042326,All
-2.7656,0.030134,-2.98645,0.00456243,-3.60702,0,-3.2255,0,All
-2.60318,0.0251117,-2.80766,0,-3.43025,0,-3.03278,0.0042326,All
-2.44077,0.0652904,-2.62888,0.0136873,-3.25348,0.00922896,-2.84007,0.0084652,All
-2.27836,0.0351563,-2.45009,0.0182497,-3.07671,0.0138434,-2.64735,0.0084652,All
-2.11594,0.0401787,-2.27131,0.0273746,-2.89994,0.00922896,-2.45463,0.021163,All
-1.95353,0.045201,-2.09252,0.0456243,-2.72317,0.0138434,-2.26191,0.0507912,All
-1.79111,0.0652904,-1.91374,0.0729989,-2.5464,0.0184579,-2.06919,0.042326,All
-1.6287,0.140625,-1.73495,0.0593116,-2.36963,0.0276869,-1.87648,0.063489,All
-1.46629,0.075335,-1.55617,0.114061,-2.19286,0.0415303,-1.68376,0.101582,All
-1.30387,0.140625,-1.37738,0.136873,-2.0161,0.0507593,-1.49104,0.118513,All
-1.14146,0.185826,-1.19859,0.205309,-1.83933,0.0830606,-1.29832,0.135443,All
-0.979045,0.200893,-1.01981,0.301121,-1.66256,0.110747,-1.10561,0.262421,All
-0.816631,0.276228,-0.841024,0.282871,-1.48579,0.115362,-0.912889,0.203165,All
-0.654217,0.346541,-0.662238,0.33762,-1.30902,0.152278,-0.720172,0.368236,All
-0.491803,0.356586,-0.483453,0.31937,-1.13225,0.226109,-0.527454,0.380934,All
-0.329389,0.296318,-0.304668,0.48818,-0.955482,0.239953,-0.334736,0.338608,All
-0.166976,0.426898,-0.125882,0.465368,-0.778713,0.286098,-0.142019,0.342841,All
-0.00456183,0.462055,0.0529034,0.433431,-0.601944,0.299941,0.0506989,0.427493,All
0.157852,0.351563,0.231689,0.392369,-0.425175,0.3507,0.243417,0.393632,All
0.320266,0.416854,0.410474,0.364995,-0.248406,0.369158,0.436134,0.397864,All
0.48268,0.421876,0.58926,0.296558,-0.0716365,0.429146,0.628852,0.397864,All
0.645093,0.321429,0.768045,0.291996,0.105132,0.3507,0.821569,0.287817,All
0.807507,0.276228,0.946831,0.228122,0.281901,0.415303,1.01429,0.292049,All
0.969921,0.246094,1.12562,0.209872,0.45867,0.410689,1.207,0.169304,All
1.13233,0.23605,1.3044,0.159685,0.635439,0.327628,1.39972,0.190467,All
1.29475,0.195871,1.48319,0.136873,0.812208,0.406074,1.59244,0.0931172,All
1.45716,0.170759,1.66197,0.104936,0.988977,0.249182,1.78516,0.0761868,All
1.61958,0.110491,1.84076,0.0912487,1.16575,0.212266,1.97788,0.0507912,All
1.78199,0.115514,2.01954,0.0593116,1.34252,0.203037,2.17059,0.042326,All
1.9444,0.0853797,2.19833,0.0273746,1.51928,0.156892,2.36331,0.0253956,All
2.10682,0.060268,2.37711,0.0228122,1.69605,0.101519,2.55603,0.0126978,All
2.26923,0.030134,2.5559,0.0228122,1.87282,0.0415303,2.74875,0.0084652,All
2.43165,0.00502233,2.73469,0,2.04959,0.0415303,2.94146,0.0042326,All
2.59406,0.030134,2.91347,0.00456243,2.22636,0.0230724,3.13418,0.0042326,All
2.75647,0.0200893,3.09226,0.00456243,2.40313,0.0230724,3.3269,0.0042326,All
