rep,ID,standEta_tin_simulated,standEta_beta_simulated,standEta_delta_simulated,standEta_p_simulated,source,filter
1,1,-1.16863,-0.26562,0.200266,-0.0503395,Neant,0
2,1,-0.815411,-1.75567,0.247738,1.17477,Neant,0
3,1,-0.499753,0.508837,1.05348,-0.374214,Neant,0
4,1,-0.499753,0.304966,1.06498,0.840182,Neant,0
5,1,-0.103538,1.60533,0.809136,2.28802,Neant,0
6,1,-0.599044,-0.938285,1.07112,1.88858,Neant,0
7,1,-0.516226,-0.341027,0.614447,1.38025,Neant,0
8,1,-1.13921,1.46381,1.83603,0.132012,Neant,0
9,1,-0.592344,2.0861,0.746182,0.432746,Neant,0
10,1,-0.686962,0.513928,0.832281,-0.152822,Neant,0
11,1,-0.686962,-0.274996,0.72716,1.20813,Neant,0
12,1,-0.496956,1.07394,0.270841,0.548206,Neant,0
13,1,-0.0739418,0.598853,1.40938,0.174612,Neant,0
14,1,-1.24224,1.67149,0.615351,0.117652,Neant,0
15,1,-0.781836,-0.330261,0.525881,-0.785154,Neant,0
16,1,-0.0158307,-0.482563,1.44465,1.25524,Neant,0
17,1,-0.518916,0.0537189,0.741982,0.211511,Neant,0
18,1,-0.858992,1.07113,-0.0678354,0.142655,Neant,0
19,1,-0.905334,2.1849,0.559293,0.62227,Neant,0
20,1,-0.803968,0.576228,0.62296,0.518203,Neant,0
21,1,-1.06483,0.472103,0.676272,-1.10728,Neant,0
1,2,0.218699,-0.63457,-0.53756,-0.683985,Neant,0
2,2,1.87413,0.908932,-0.421687,-1.63851,Neant,0
3,2,0.314786,-0.520931,-0.892506,0.709956,Neant,0
4,2,0.0558688,-0.872709,-0.806118,0.709956,Neant,0
5,2,-0.954644,0.146166,-0.923957,-0.0534104,Neant,0
6,2,-2.27321,-0.12093,-1.58552,-1.19878,Neant,0
7,2,-0.802932,-1.12647,-1.00197,1.31812,Neant,0
8,2,0.500879,-0.0687247,-1.33693,-0.480668,Neant,0
9,2,-0.197257,1.5985,-0.542989,0.418036,Neant,0
10,2,-0.197257,-0.129114,-0.376931,0.418036,Neant,0
11,2,0.212716,1.36089,-0.427729,0.218448,Neant,0
12,2,-0.948141,0.997279,-0.757175,0.183858,Neant,0
13,2,0.601061,0.311031,-0.0398603,1.34662,Neant,0
14,2,0.164997,0.713731,-0.298318,1.84227,Neant,0
15,2,-0.51665,0.554288,-0.622449,0.0906751,Neant,0
16,2,-1.00264,0.703988,-0.465199,-0.698883,Neant,0
17,2,-0.640754,-0.292092,-0.773195,0.310317,Neant,0
18,2,1.52542,0.175997,-0.443782,0.413715,Neant,0
19,2,1.53134,-0.0410878,-0.510848,-0.551231,Neant,0
20,2,0.483056,0.912044,-0.571796,-1.07445,Neant,0
21,2,0.113917,0.447403,-1.17235,-0.39647,Neant,0
1,3,-1.02416,0.951378,1.04761,-1.39273,Neant,0
2,3,-1.66705,-0.981852,1.09341,-1.31957,Neant,0
3,3,-2.09089,-0.153053,0.861047,-0.770892,Neant,0
4,3,-1.30442,-0.987142,1.12162,0.178944,Neant,0
5,3,-0.103273,-1.69809,0.496853,-0.67721,Neant,0
