ID,standEta_tin_mean,standEta_tin_mode,standEta_beta_mean,standEta_beta_mode,standEta_delta_mean,standEta_delta_mode,standEta_p_mean,standEta_p_mode,filter
1,-0.705589,-0.619462,0.359447,0.360828,0.807169,0.919053,0.301223,0.149179,0
2,-0.216233,-0.00077499,0.176279,-0.0022408,-0.859577,-0.696748,0.0686072,-0.0010813,0
3,-0.871888,-0.738747,-0.510677,-0.698171,1.29989,1.35906,-0.376036,-0.309858,0
4,-0.18969,-0.206865,-0.0441775,-0.107396,0.589466,0.751751,-0.139016,-0.0566611,0
5,0.248886,0.309073,-0.0680278,0.0961087,0.387885,0.534061,0.190935,0.0623066,0
6,-0.359229,-0.235441,-0.21517,-0.12486,0.82146,0.81525,-0.152101,-0.0642859,0
7,-0.0754083,0.152416,-0.103391,0.0782492,-0.395833,-0.223481,-0.0172468,0.0474454,0
8,0.169057,0.144395,0.173956,0.152232,-1.78573,-1.56289,0.05159,0.0888689,0
9,-0.423543,-0.431825,-0.320495,-0.46206,0.1816,0.235693,-0.100078,-0.215745,0
10,0.267243,0.320567,0.339388,0.194331,-0.908589,-0.753127,-0.0485178,0.121265,0
11,0.316087,0.0221782,-0.258284,0.0115196,-0.178136,-0.017967,-0.0148527,0.00653061,0
12,-0.359959,-0.378437,0.0327179,-0.294584,0.55512,0.609224,-0.204899,-0.142413,0
13,0.575144,0.342545,0.410589,0.157419,-0.212948,-0.267524,0.00468607,0.100032,0
14,0.652316,0.566545,0.119264,0.238717,-0.428684,-0.35498,0.210788,0.159833,0
15,0.116111,0.129413,0.146695,0.114277,-1.28911,-1.19362,0.127324,0.067964,0
16,-0.288076,-0.35688,0.197022,0.243858,-0.404063,-0.36047,0.150309,0.140383,0
17,-0.931515,-0.670012,0.428822,0.362574,0.780668,0.767684,-0.0961069,0.144725,0
18,-0.54761,-0.567178,-0.242538,-0.505387,1.27296,1.20224,-0.249049,-0.22823,0
19,0.227705,-0.0299365,-0.0780815,-0.0235032,-0.708461,-0.67878,0.0995697,-0.013177,0
20,0.252765,0.13179,0.20953,0.110204,-1.16863,-1.08711,0.198329,0.0645517,0
21,0.343051,0.195559,0.203842,0.106376,-0.409062,-0.394605,0.118722,0.0647781,0
22,0.308163,0.294819,0.193798,0.103104,0.269845,0.376363,0.306248,0.0657142,0
23,-0.315186,-0.381108,-0.30558,-0.326504,0.34086,0.416945,0.0211263,-0.159168,0
24,0.251707,0.0280694,0.0632318,0.0269123,-1.09466,-1.04066,0.0187988,0.0149872,0
25,0.792258,0.705923,0.491835,0.395646,-0.96152,-0.984235,0.246874,0.266902,0
26,0.0776415,-0.0587762,-0.115233,-0.029719,0.246724,0.241958,0.197069,-0.0167574,0
27,0.0611352,0.315833,0.187864,0.378699,-2.42372,-2.17603,0.0628647,0.234788,0
28,-0.274354,-0.336722,-0.119892,-0.335277,-0.145176,-0.119871,-0.0658604,-0.164007,0
29,-0.00641487,0.1187,0.105419,0.0961397,-1.16816,-1.02522,0.170042,0.0559985,0
30,-0.144705,0.0384978,0.126779,0.0495502,-1.86562,-1.71905,-0.229356,0.0280598,0
31,0.0482816,0.0564937,-0.170779,0.030195,-0.303662,-0.147936,0.0144323,0.0177666,0
32,0.375232,0.130954,0.0778609,0.0556806,0.224468,0.157618,0.0397242,0.0340103,0
33,0.110769,0.233823,0.255162,0.147354,-0.750007,-0.712528,0.170287,0.0897554,0
34,0.297796,0.303656,0.168192,0.0988121,0.397668,0.433094,0.092785,0.0628486,0
35,0.0916396,-0.059857,0.0714687,-0.0285849,0.349543,0.346467,0.0129647,-0.0162598,0
36,0.478618,0.478207,0.31714,0.159805,-1.12747,-0.999384,0.352612,0.0988732,0
37,-0.0330593,-0.00608814,-0.0763465,-0.00314895,0.307521,0.0399593,0.270293,-0.00182013,0
38,0.0191848,0.103468,0.21448,0.0393192,0.438878,0.484192,0.0471286,0.0238808,0
39,0.709922,0.4153,0.388487,0.26545,-0.953462,-0.949718,-0.00473299,0.16871,0
40,-0.722369,-0.681136,-0.533597,-0.648348,1.25937,1.25967,-0.112667,-0.288395,0
41,0.0141577,-0.155544,-0.161486,-0.102637,-0.0853556,-0.0138318,-0.176826,-0.0552018,0
42,0.897437,0.79092,0.647444,0.45725,-1.14207,-1.12321,0.219105,0.311679,0
43,0.00587881,0.070607,-0.687889,-0.63254,-0.00583194,0.0341672,0.0232455,-0.258392,0
44,0.878992,1.12212,-0.050784,-0.0337035,0.102309,0.24806,-0.110522,-0.00730939,0
45,0.690884,0.631868,-0.492305,-0.766388,1.03007,0.907024,-0.133342,-0.371559,0
46,0.840026,1.14798,-0.145757,-0.330897,0.799465,0.961248,-0.370498,-0.129484,0
47,0.100767,0.00583793,-1.13355,-1.18518,1.07036,0.997388,-0.621338,-0.547138,0
48,-2.19088,-2.52147,-0.484898,-0.728239,0.623621,0.416562,-0.28768,-0.34139,0
49,0.272761,0.106179,0.260749,0.136093,0.799036,0.809653,0.208904,0.0647761,0
50,-1.35754,-2.09413,-0.201272,0.214127,-0.209863,-0.19036,-0.0121394,0.0839556,0
51,-0.112663,-0.315899,-0.0274498,-0.171653,0.19766,0.200182,-0.0243052,-0.0581988,0
52,-0.691684,-0.514679,-0.346725,-0.574411,0.40967,0.4951,-0.113438,-0.261451,0
53,0.467937,0.365669,0.171196,0.0983383,1.21439,1.20262,0.37249,0.0613529,0
54,-0.182133,-0.374964,-0.260985,-0.279431,0.738099,0.757793,-0.0994636,-0.134626,0
55,-0.0125097,-0.0551017,0.107197,-0.02035,1.36976,1.34316,0.136302,-0.0112392,0
56,0.589136,0.680851,0.0494794,0.148089,0.752724,0.894733,0.219715,0.105865,0
57,-0.199422,-0.283127,0.0433581,-0.189006,0.40562,0.471827,-0.0826773,-0.0960813,0
58,0.238558,-0.0128379,0.0740999,-0.00901279,-0.45765,-0.461436,-0.0399399,-0.0050879,0
59,0.0252211,-0.384514,-0.331755,-0.317673,1.08629,0.904186,-0.10934,-0.148812,0
