simulations,OFV
200,1041.55
400,1041.67
600,1040.67
800,1040.4
1000,1040.49
1200,1040.39
1400,1040.17
1600,1040.25
1800,1040.32
2000,1040.19
2200,1040.26
2400,1040.31
2600,1040.39
2800,1040.41
3000,1040.44
3200,1040.36
3400,1040.3
3600,1040.21
3800,1040.19
4000,1040.18
4200,1040.29
4400,1040.3
4600,1040.36
4800,1040.36
5000,1040.33
5200,1040.24
5400,1040.24
5600,1040.22
5800,1040.26
6000,1040.31
6200,1040.3
6400,1040.31
6600,1040.33
6800,1040.38
7000,1040.36
7200,1040.39
7400,1040.39
7600,1040.36
7800,1040.37
8000,1040.33
8200,1040.3
8400,1040.34
8600,1040.37
8800,1040.37
9000,1040.36
9200,1040.37
9400,1040.36
9600,1040.35
9800,1040.32
10000,1040.33
