ID,time,pop,popPred,indivPredMean,indivPredMode
1,1,6.97486,6.13205,7.89595,7.72993
1,1.02384,6.96498,6.18324,7.90884,7.74829
1,1.04824,6.95486,6.2348,7.92109,7.76613
1,1.07322,6.94449,6.28671,7.93264,7.78339
1,1.0988,6.93388,6.33892,7.94344,7.80001
1,1.12499,6.92301,6.39141,7.95345,7.81595
1,1.144,6.91513,6.42888,7.96007,7.82683
1,1.15181,6.91189,6.44413,7.96262,7.83114
1,1.17926,6.90049,6.49703,7.97091,7.84553
1,1.20737,6.88882,6.55007,7.97827,7.85905
1,1.23615,6.87687,6.6032,7.98465,7.87166
1,1.26561,6.86464,6.65637,7.99001,7.88329
1,1.288,6.85534,6.69594,7.99332,7.89128
1,1.29578,6.85211,6.70951,7.99432,7.89389
1,1.32666,6.83928,6.76258,7.99753,7.9034
1,1.35828,6.82614,6.8155,7.99961,7.91176
1,1.39066,6.81269,6.8682,8.00053,7.91892
1,1.4238,6.79891,6.92062,8.00025,7.92483
1,1.432,6.79551,6.93334,8,7.92607
1,1.45774,6.78481,6.97267,7.99875,7.92944
1,1.49249,6.77037,7.02428,7.99601,7.93272
1,1.52806,6.75558,7.07535,7.99201,7.93461
1,1.56448,6.74044,7.1258,7.98673,7.93508
1,1.576,6.73565,7.14136,7.98482,7.93493
1,1.60177,6.72493,7.17552,7.98015,7.9341
1,1.63995,6.70905,7.22442,7.97227,7.93164
1,1.67904,6.6928,7.27238,7.96308,7.92768
1,1.71906,6.67615,7.31929,7.95258,7.92219
1,1.72,6.67576,7.32037,7.95232,7.92205
1,1.76003,6.65911,7.36503,7.94077,7.91517
1,1.80198,6.64166,7.40948,7.92765,7.90659
1,1.84493,6.62379,7.4525,7.91322,7.89647
1,1.864,6.61586,7.47079,7.90652,7.89156
1,1.88891,6.6055,7.49396,7.8975,7.88478
1,1.93393,6.58676,7.53372,7.88048,7.87155
1,1.98003,6.56758,7.57164,7.86219,7.85676
1,2.008,6.55594,7.59329,7.85069,7.84722
1,2.02722,6.54795,7.60757,7.84263,7.84044
1,2.07554,6.52784,7.64138,7.82182,7.82258
1,2.12501,6.50725,7.67292,7.79976,7.80321
1,2.152,6.49602,7.68884,7.78744,7.79222
1,2.17566,6.48617,7.70206,7.77648,7.78235
1,2.22752,6.46459,7.72866,7.75199,7.76
1,2.28061,6.44249,7.75262,7.72629,7.73619
1,2.296,6.43609,7.75895,7.71874,7.72912
1,2.33497,6.41987,7.77381,7.69941,7.71093
1,2.39062,6.3967,7.79214,7.67136,7.68425
1,2.44,6.37615,7.80568,7.64607,7.65995
1,2.4476,6.37299,7.80754,7.64215,7.65616
1,2.50594,6.3487,7.81994,7.61178,7.62669
1,2.56567,6.32384,7.82931,7.58028,7.59585
1,2.584,6.31621,7.83155,7.57053,7.58626
1,2.62683,6.29838,7.83563,7.54764,7.56366
1,2.68944,6.27232,7.8389,7.51387,7.53013
1,2.728,6.25626,7.8394,7.49292,7.50923
1,2.75354,6.24563,7.83913,7.47898,7.49529
1,2.81917,6.21831,7.83638,7.44298,7.45913
1,2.872,6.19632,7.83214,7.41381,7.42972
1,2.88637,6.19034,7.8307,7.40585,7.42168
1,2.95516,6.1617,7.82217,7.36761,7.38294
1,3.016,6.13637,7.81257,7.33362,7.34839
1,3.0256,6.13237,7.81089,7.32825,7.34292
1,3.09771,6.10235,7.79695,7.28776,7.30162
1,3.16,6.07642,7.78318,7.25266,7.26573
1,3.17155,6.07161,7.78047,7.24614,7.25905
1,3.24714,6.04014,7.76155,7.20338,7.21521
1,3.304,6.01647,7.74613,7.17114,7.18209
1,3.32454,6.00792,7.74033,7.15948,7.17009
1,3.40378,5.97492,7.71691,7.11441,7.12369
1,3.448,5.95651,7.70319,7.08922,7.09772
1,3.48491,5.94115,7.69142,7.06818,7.076
1,3.56797,5.90656,7.66397,7.02075,7.02702
1,3.592,5.89656,7.6558,7.00702,7.01282
1,3.65302,5.87116,7.63466,6.97212,6.97673
1,3.736,5.83661,7.60507,6.9246,6.92754
1,3.74009,5.83491,7.60359,6.92226,6.92511
1,3.82923,5.79779,7.57086,6.87116,6.87216
1,3.88,5.77665,7.55187,6.84204,6.84197
1,3.9205,5.75979,7.53655,6.81879,6.81786
1,4.01395,5.72088,7.50073,6.76514,6.76218
1,4.024,5.7167,7.49684,6.75936,6.75618
1,4.10962,5.68105,7.46346,6.71017,6.7051
1,4.168,5.65675,7.44047,6.67661,6.67024
1,4.20757,5.64027,7.4248,6.65386,6.64661
1,4.30786,5.59851,7.38479,6.59618,6.58666
1,4.312,5.59679,7.38313,6.5938,6.58419
1,4.41054,5.55576,7.34347,6.53711,6.52525
1,4.456,5.53684,7.32508,6.51095,6.49805
1,4.51567,5.51199,7.30086,6.47661,6.46234
1,4.6,5.47688,7.26651,6.42807,6.41185
1,4.6233,5.46718,7.25699,6.41466,6.39789
1,4.73349,5.4213,7.21188,6.35121,6.33189
1,4.744,5.41693,7.20757,6.34516,6.3256
1,4.84632,5.37433,7.16551,6.28625,6.26429
1,4.888,5.35697,7.14835,6.26224,6.23931
1,4.96183,5.32623,7.11791,6.21972,6.19506
1,5,5.31034,7.10216,6.19774,6.17218
1,5.032,5.29702,7.08894,6.17931,6.153
1,5.0801,5.27699,7.06906,6.15161,6.12416
1,5.176,5.23706,7.02938,6.09637,6.06666
1,5.20118,5.22658,7.01896,6.08186,6.05156
1,5.32,5.17711,6.96972,6.01342,5.98031
1,5.32515,5.17496,6.96759,6.01045,5.97722
1,5.45208,5.12211,6.91494,5.93733,5.9011
1,5.464,5.11715,6.90999,5.93046,5.89395
1,5.58203,5.06801,6.86098,5.86247,5.82316
1,5.608,5.0572,6.8502,5.8475,5.80758
1,5.71508,5.01261,6.80571,5.78582,5.74336
1,5.752,4.99724,6.79036,5.76454,5.72121
1,5.8513,4.9559,6.74908,5.70734,5.66165
1,5.896,4.93729,6.7305,5.68158,5.63483
1,5.99076,4.89783,6.69109,5.62698,5.57798
1,6,4.89398,6.68725,5.62166,5.57244
1,6.04,4.87733,6.67061,5.59862,5.54844
1,6.13355,4.83838,6.63169,5.54471,5.49232
1,6.184,4.81738,6.61071,5.51565,5.46206
1,6.27975,4.77751,6.57087,5.46048,5.40462
1,6.328,4.75742,6.55079,5.43268,5.37567
