ID,trans_tin_mean,trans_tin_mode,trans_beta_mean,trans_beta_mode,trans_delta_mean,trans_delta_mode,trans_p_mean,trans_p_mode,eta_tin_mean,eta_tin_mode,eta_beta_mean,eta_beta_mode,eta_delta_mean,eta_delta_mode,eta_p_mean,eta_p_mode,source,split,color,filter
1,-0.0854959,-0.0793324,-3.64611,-3.64558,-0.310453,-0.233456,8.93554,8.91376,-0.0504939,-0.0443304,0.138659,0.139191,0.555479,0.632475,0.0431487,0.0213691,Neant,All,#4682B4,0
2,-0.0504763,-0.0350575,-3.71677,-3.78564,-1.45748,-1.34542,8.90222,8.89223,-0.0154743,-5.54605e-05,0.0680006,-0.000864399,-0.591545,-0.479489,0.00982763,-0.00015489,Neant,All,#4682B4,0
3,-0.0973967,-0.0878689,-3.98177,-4.0541,0.0286319,0.0693504,8.83852,8.848,-0.0623947,-0.0528669,-0.196996,-0.269323,0.894564,0.935282,-0.0538652,-0.0443856,Neant,All,#4682B4,0
4,-0.0485768,-0.0498058,-3.80181,-3.8262,-0.460272,-0.34859,8.87247,8.88427,-0.0135748,-0.0148038,-0.0170417,-0.0414284,0.405659,0.517341,-0.0199133,-0.00811642,Neant,All,#4682B4,0
5,-0.017191,-0.0128838,-3.81101,-3.7477,-0.598996,-0.4984,8.91974,8.90131,0.017811,0.0221182,-0.0262421,0.0370744,0.266935,0.367531,0.0273505,0.0089251,Neant,All,#4682B4,0
6,-0.0607094,-0.0518508,-3.86778,-3.83294,-0.300618,-0.304892,8.8706,8.88318,-0.0257074,-0.0168488,-0.083003,-0.0481655,0.565314,0.56104,-0.0217877,-0.00920862,Neant,All,#4682B4,0
7,-0.0403984,-0.0240947,-3.82466,-3.75459,-1.13834,-1.01973,8.88992,8.89918,-0.00539643,0.0109073,-0.0398835,0.030185,-0.272405,-0.153795,-0.00247052,0.00679632,Neant,All,#4682B4,0
8,-0.0229038,-0.0246687,-3.71767,-3.72605,-2.09484,-1.94148,8.89978,8.90512,0.0120982,0.0103333,0.0671045,0.0587241,-1.2289,-1.07555,0.00739001,0.01273,Neant,All,#4682B4,0
9,-0.0653119,-0.0659046,-3.9084,-3.96301,-0.740958,-0.703732,8.87805,8.86148,-0.0303099,-0.0309026,-0.123632,-0.178242,0.124974,0.1622,-0.0143357,-0.0309044,Neant,All,#4682B4,0
10,-0.0158773,-0.0120613,-3.65385,-3.70981,-1.49121,-1.38422,8.88544,8.90976,0.0191247,0.0229407,0.130921,0.0749641,-0.625274,-0.518288,-0.00694992,0.0173706,Neant,All,#4682B4,0
11,-0.0123819,-0.0334149,-3.88441,-3.78033,-0.988521,-0.878296,8.89026,8.89332,0.0226201,0.00158714,-0.0996345,0.00444373,-0.12259,-0.0123646,-0.00212758,0.000935476,Neant,All,#4682B4,0
12,-0.0607616,-0.062084,-3.77215,-3.89841,-0.483908,-0.446675,8.86304,8.87199,-0.0257597,-0.027082,0.0126211,-0.113637,0.382024,0.419256,-0.0293508,-0.0203999,Neant,All,#4682B4,0
13,0.00615694,-0.0104885,-3.62639,-3.72405,-1.01248,-1.05004,8.89306,8.90672,0.0411589,0.0245135,0.158387,0.0607251,-0.146547,-0.184105,0.000671256,0.0143291,Neant,All,#4682B4,0
14,0.0116796,0.00554155,-3.73877,-3.69269,-1.16094,-1.11022,8.92258,8.91528,0.0466816,0.0405436,0.0460066,0.0920863,-0.295012,-0.244291,0.0301943,0.0228952,Neant,All,#4682B4,0
15,-0.0266928,-0.0257408,-3.72818,-3.74069,-1.75308,-1.68736,8.91063,8.90212,0.00830921,0.00926116,0.0565882,0.044083,-0.887143,-0.821427,0.0182385,0.0097355,Neant,All,#4682B4,0
16,-0.0556175,-0.0605413,-3.70877,-3.6907,-1.144,-1.114,8.91392,8.9125,-0.0206155,-0.0255393,0.0760024,0.0940693,-0.278069,-0.248068,0.0215311,0.0201091,Neant,All,#4682B4,0
17,-0.101664,-0.08295,-3.61935,-3.64491,-0.328691,-0.337626,8.87862,8.91312,-0.0666619,-0.047948,0.16542,0.139865,0.537241,0.528306,-0.0137668,0.0207311,Neant,All,#4682B4,0
18,-0.0741905,-0.0755909,-3.87833,-3.97973,0.0100949,-0.038575,8.85671,8.85969,-0.0391885,-0.0405889,-0.0935601,-0.194956,0.876027,0.827357,-0.035675,-0.0326928,Neant,All,#4682B4,0
19,-0.0187068,-0.0371443,-3.81489,-3.79384,-1.35348,-1.33306,8.90665,8.8905,0.0162952,-0.00214234,-0.0301203,-0.00906646,-0.48755,-0.467124,0.0142629,-0.00188754,Neant,All,#4682B4,0
20,-0.0169134,-0.0255707,-3.70394,-3.74226,-1.67016,-1.61406,8.9208,8.90163,0.0180886,0.00943127,0.0808274,0.0425118,-0.804229,-0.748128,0.0284096,0.0092467,Neant,All,#4682B4,0
21,-0.0104523,-0.0210073,-3.70614,-3.74374,-1.14744,-1.13749,8.90939,8.90167,0.0245497,0.0139947,0.078633,0.0410351,-0.281509,-0.27156,0.0170063,0.00927913,Neant,All,#4682B4,0
22,-0.0129489,-0.0139039,-3.71001,-3.745,-0.680229,-0.606926,8.93626,8.9018,0.0220531,0.0210981,0.0747587,0.0397728,0.185702,0.259006,0.0438685,0.00941323,Neant,All,#4682B4,0
23,-0.0575576,-0.0622752,-3.90265,-3.91072,-0.631358,-0.578998,8.89541,8.86959,-0.0225556,-0.0272732,-0.117879,-0.125951,0.234574,0.286934,0.00302623,-0.0228,Neant,All,#4682B4,0
24,-0.0169891,-0.0329933,-3.76038,-3.77439,-1.61926,-1.58209,8.89508,8.89453,0.0180129,0.00200873,0.024392,0.0103816,-0.753326,-0.716162,0.00269284,0.00214684,Neant,All,#4682B4,0
25,0.0216942,0.0155158,-3.59504,-3.63215,-1.52763,-1.54326,8.92775,8.93062,0.0566962,0.0505178,0.189728,0.152622,-0.6617,-0.677332,0.0353635,0.0382324,Neant,All,#4682B4,0
26,-0.0294458,-0.0392082,-3.82922,-3.79624,-0.696141,-0.69942,8.92062,8.88999,0.00555625,-0.00420619,-0.0444515,-0.0114642,0.169791,0.166511,0.0282292,-0.00240041,Neant,All,#4682B4,0
27,-0.030627,-0.0124001,-3.7123,-3.63869,-2.53389,-2.36344,8.90139,8.92602,0.00437501,0.0226019,0.0724695,0.146085,-1.66796,-1.4975,0.00900505,0.0336322,Neant,All,#4682B4,0
28,-0.0546355,-0.0590987,-3.83102,-3.91411,-0.965839,-0.948425,8.88295,8.86889,-0.0196335,-0.0240967,-0.0462489,-0.129335,-0.0999077,-0.0824932,-0.00943417,-0.0234932,Neant,All,#4682B4,0
29,-0.0354611,-0.0265075,-3.74411,-3.74769,-1.66984,-1.57147,8.91675,8.90041,-0.000459066,0.00849447,0.0406658,0.0370864,-0.803905,-0.705541,0.0243576,0.0080215,Neant,All,#4682B4,0
30,-0.0453575,-0.032247,-3.73587,-3.76566,-2.14982,-2.04895,8.85953,8.89641,-0.0103555,0.00275501,0.0489055,0.0191142,-1.28389,-1.18302,-0.0328541,0.00401943,Neant,All,#4682B4,0
31,-0.0315468,-0.0309591,-3.85065,-3.77312,-1.07491,-0.967739,8.89446,8.89493,0.00345516,0.00404285,-0.0658788,0.0116479,-0.208975,-0.101807,0.00206735,0.00254497,Neant,All,#4682B4,0
32,-0.00814936,-0.0256305,-3.75474,-3.76329,-0.711457,-0.757462,8.89808,8.89726,0.0268526,0.00937145,0.0300352,0.0214791,0.154475,0.10847,0.00569029,0.0048718,Neant,All,#4682B4,0
33,-0.0270751,-0.018269,-3.68634,-3.72793,-1.38207,-1.35628,8.91678,8.90524,0.00792694,0.016733,0.0984298,0.0568424,-0.516141,-0.490349,0.0243927,0.012857,Neant,All,#4682B4,0
34,-0.0136909,-0.0132715,-3.71989,-3.74665,-0.592264,-0.567885,8.90568,8.90139,0.0213111,0.0217305,0.0648811,0.0381173,0.273668,0.298047,0.013291,0.00900274,Neant,All,#4682B4,0
35,-0.028444,-0.0392855,-3.7572,-3.7958,-0.625383,-0.6275,8.89424,8.89006,0.00655799,-0.00428353,0.0275694,-0.0110268,0.240549,0.238432,0.00185713,-0.00232913,Neant,All,#4682B4,0
36,-0.000750738,-0.000780181,-3.66243,-3.72313,-1.64184,-1.55369,8.9429,8.90655,0.0342513,0.0342218,0.122338,0.0616455,-0.775905,-0.687758,0.0505098,0.0141631,Neant,All,#4682B4,0
37,-0.0373678,-0.0354377,-3.81422,-3.78599,-0.654301,-0.838432,8.93111,8.89213,-0.00236582,-0.000435684,-0.029451,-0.00121472,0.21163,0.0274992,0.038718,-0.000260724,Neant,All,#4682B4,0
38,-0.0336291,-0.0275976,-3.70204,-3.7696,-0.563904,-0.532719,8.89914,8.89581,0.00137292,0.00740444,0.0827366,0.0151676,0.302028,0.333212,0.00675093,0.0034208,Neant,All,#4682B4,0
39,0.015802,-0.00528194,-3.63491,-3.68237,-1.52209,-1.51951,8.89171,8.91655,0.050804,0.0297201,0.149861,0.102399,-0.656155,-0.653579,-0.000677977,0.0241669,Neant,All,#4682B4,0
40,-0.0866967,-0.083746,-3.99061,-4.03488,0.000746431,0.000948555,8.87625,8.85108,-0.0516947,-0.048744,-0.205838,-0.250103,0.866678,0.86688,-0.016139,-0.0413111,Neant,All,#4682B4,0
41,-0.0339888,-0.0461331,-3.84707,-3.82436,-0.924672,-0.87545,8.86706,8.88448,0.00101316,-0.0111311,-0.0622942,-0.0395928,-0.0587402,-0.00951877,-0.0253294,-0.00790737,Neant,All,#4682B4,0
42,0.0292212,0.0215985,-3.53502,-3.60839,-1.65188,-1.6389,8.92377,8.93703,0.0642232,0.0566005,0.249755,0.176386,-0.785951,-0.77297,0.0313857,0.0446464,Neant,All,#4682B4,0
