rep,ID,trans_tin_simulated,trans_beta_simulated,trans_delta_simulated,trans_p_simulated,eta_tin_simulated,eta_beta_simulated,eta_delta_simulated,eta_p_simulated,source,split,color,filter
0,1,-0.118633,-3.88724,-0.728112,8.88518,-0.0836305,-0.102464,0.137819,-0.00721088,Neant,All,#4682B4,0
1,1,-0.0933551,-4.46203,-0.695443,9.06067,-0.0583531,-0.67726,0.170489,0.16828,Neant,All,#4682B4,0
2,1,-0.0707657,-3.58849,-0.140947,8.83878,-0.0357637,0.196286,0.724985,-0.0536042,Neant,All,#4682B4,0
3,1,-0.0707657,-3.66713,-0.133035,9.01274,-0.0357637,0.117642,0.732897,0.120352,Neant,All,#4682B4,0
4,1,-0.0424115,-3.16551,-0.309099,9.22014,-0.00740945,0.619262,0.556833,0.327748,Neant,All,#4682B4,0
5,1,-0.0778713,-4.14672,-0.12881,9.16292,-0.0428693,-0.361948,0.737122,0.27053,Neant,All,#4682B4,0
6,1,-0.0719446,-3.91633,-0.44308,9.0901,-0.0369426,-0.131553,0.422851,0.197714,Neant,All,#4682B4,0
7,1,-0.116527,-3.2201,0.397589,8.9113,-0.0815252,0.564673,1.26352,0.01891,Neant,All,#4682B4,0
8,1,-0.0773918,-2.98005,-0.352423,8.95438,-0.0423898,0.804723,0.513509,0.0619887,Neant,All,#4682B4,0
9,1,-0.084163,-3.58652,-0.293171,8.8705,-0.049161,0.19825,0.57276,-0.021891,Neant,All,#4682B4,0
10,1,-0.084163,-3.89085,-0.365514,9.06545,-0.049161,-0.106081,0.500418,0.173058,Neant,All,#4682B4,0
11,1,-0.0705656,-3.37049,-0.679544,8.97092,-0.0355636,0.414279,0.186388,0.0785277,Neant,All,#4682B4,0
12,1,-0.0402935,-3.55376,0.103978,8.9174,-0.00529148,0.23101,0.96991,0.0250123,Neant,All,#4682B4,0
13,1,-0.123901,-3.13999,-0.442459,8.90924,-0.0888985,0.644785,0.423473,0.0168531,Neant,All,#4682B4,0
14,1,-0.0909524,-3.91217,-0.50403,8.77992,-0.0559504,-0.1274,0.361902,-0.112469,Neant,All,#4682B4,0
15,1,-0.0361349,-3.97092,0.128252,9.07219,-0.00113289,-0.186151,0.994184,0.179806,Neant,All,#4682B4,0
16,1,-0.0721371,-3.76405,-0.355314,8.92269,-0.0371351,0.0207223,0.510618,0.0302978,Neant,All,#4682B4,0
17,1,-0.0964739,-3.37158,-0.912615,8.91282,-0.0614719,0.413194,-0.0466831,0.0204346,Neant,All,#4682B4,0
18,1,-0.0997903,-2.94193,-0.481037,8.98152,-0.0647883,0.842837,0.384895,0.089137,Neant,All,#4682B4,0
19,1,-0.0925362,-3.56249,-0.437222,8.96662,-0.0575342,0.222283,0.42871,0.0742299,Neant,All,#4682B4,0
20,1,-0.111204,-3.60266,-0.400534,8.73378,-0.0762019,0.182116,0.465398,-0.158612,Neant,All,#4682B4,0
0,2,-0.0193513,-4.02956,-1.23587,8.79441,0.0156507,-0.244789,-0.369939,-0.0979774,Neant,All,#4682B4,0
1,2,0.0991162,-3.43415,-1.15613,8.65768,0.134118,0.350625,-0.290197,-0.234708,Neant,All,#4682B4,0
2,2,-0.012475,-3.98572,-1.48014,8.99409,0.022527,-0.200952,-0.614206,0.101698,Neant,All,#4682B4,0
3,2,-0.0310039,-4.12142,-1.42069,8.99409,0.00399813,-0.336652,-0.554755,0.101698,Neant,All,#4682B4,0
4,2,-0.103319,-3.72839,-1.50178,8.88474,-0.068317,0.0563841,-0.63585,-0.00765076,Neant,All,#4682B4,0
5,2,-0.19768,-3.83142,-1.95706,8.72067,-0.162678,-0.0466495,-1.09113,-0.171719,Neant,All,#4682B4,0
6,2,-0.0924621,-4.21931,-1.55547,9.0812,-0.0574601,-0.434541,-0.689536,0.188814,Neant,All,#4682B4,0
7,2,0.000842324,-3.81128,-1.78598,8.82353,0.0358443,-0.0265109,-0.920052,-0.0688532,Neant,All,#4682B4,0
8,2,-0.0491183,-3.16814,-1.23961,8.95227,-0.0141163,0.616631,-0.373675,0.0598815,Neant,All,#4682B4,0
9,2,-0.0491183,-3.83458,-1.12533,8.95227,-0.0141163,-0.0498062,-0.259397,0.0598815,Neant,All,#4682B4,0
10,2,-0.0197795,-3.2598,-1.16029,8.92368,0.0152225,0.524971,-0.294355,0.0312916,Neant,All,#4682B4,0
11,2,-0.102854,-3.40007,-1.38701,8.91872,-0.0678516,0.384706,-0.521074,0.0263367,Neant,All,#4682B4,0
12,2,0.00801159,-3.66479,-0.893363,9.08528,0.0430136,0.119982,-0.0274311,0.192897,Neant,All,#4682B4,0
13,2,-0.0231944,-3.50945,-1.07123,9.15628,0.0118076,0.275325,-0.205297,0.263895,Neant,All,#4682B4,0
14,2,-0.0719749,-3.57095,-1.29429,8.90538,-0.0369729,0.213819,-0.428358,0.0129888,Neant,All,#4682B4,0
15,2,-0.106754,-3.51321,-1.18607,8.79228,-0.0717515,0.271567,-0.320141,-0.100112,Neant,All,#4682B4,0
16,2,-0.0808562,-3.89745,-1.39803,8.93684,-0.0458542,-0.112676,-0.532099,0.0444513,Neant,All,#4682B4,0
17,2,0.0741615,-3.71688,-1.17133,8.95165,0.109164,0.0678917,-0.305403,0.0592626,Neant,All,#4682B4,0
18,2,0.0745853,-3.80062,-1.21749,8.81343,0.109587,-0.0158498,-0.351556,-0.078961,Neant,All,#4682B4,0
19,2,-0.000433134,-3.43295,-1.25943,8.73848,0.0345689,0.351825,-0.393499,-0.153909,Neant,All,#4682B4,0
20,2,-0.0268498,-3.61218,-1.67272,8.8356,0.00815225,0.172588,-0.80679,-0.0567923,Neant,All,#4682B4,0
0,3,-0.108294,-3.41777,-0.144988,8.69289,-0.0732918,0.366999,0.720943,-0.199501,Neant,All,#4682B4,0
1,3,-0.154301,-4.16353,-0.113465,8.70337,-0.119299,-0.378754,0.752467,-0.189022,Neant,All,#4682B4,0
2,3,-0.184632,-3.84381,-0.273375,8.78196,-0.14963,-0.059041,0.592557,-0.110426,Neant,All,#4682B4,0
3,3,-0.12835,-4.16557,-0.0940554,8.91802,-0.0933482,-0.380795,0.771876,0.0256328,Neant,All,#4682B4,0
4,3,-0.0423925,-4.43982,-0.524007,8.79538,-0.00739048,-0.655047,0.341925,-0.0970069,Neant,All,#4682B4,0
5,3,-0.0393722,-4.04248,-0.0639156,8.80788,-0.00437022,-0.257706,0.802016,-0.0845041,Neant,All,#4682B4,0
6,3,0.00276494,-3.36687,-0.33965,8.91785,0.0377669,0.417906,0.526282,0.0254645,Neant,All,#4682B4,0
7,3,-0.0571714,-3.0259,-0.040681,8.82575,-0.0221694,0.758873,0.825251,-0.0666387,Neant,All,#4682B4,0
8,3,-0.164414,-4.69753,0.0455492,9.10414,-0.129412,-0.912759,0.911481,0.211747,Neant,All,#4682B4,0
9,3,-0.149252,-3.75,-0.349594,9.13804,-0.11425,0.0347758,0.516337,0.245656,Neant,All,#4682B4,0
10,3,-0.153558,-4.59111,0.220404,8.97281,-0.118556,-0.80634,1.08634,0.0804266,Neant,All,#4682B4,0
11,3,-0.122344,-3.21773,0.214981,8.71172,-0.0873421,0.567046,1.08091,-0.180671,Neant,All,#4682B4,0
12,3,-0.162149,-4.82416,-0.484338,8.60453,-0.127147,-1.03939,0.381594,-0.287857,Neant,All,#4682B4,0
13,3,-0.218656,-4.07022,-0.552058,8.74037,-0.183654,-0.285446,0.313874,-0.152017,Neant,All,#4682B4,0
14,3,-0.142786,-4.53569,-0.517086,8.92199,-0.107784,-0.75092,0.348846,0.0296036,Neant,All,#4682B4,0
15,3,-0.00773222,-4.07829,-0.372333,8.66576,0.0272698,-0.293517,0.493598,-0.226623,Neant,All,#4682B4,0
16,3,-0.205998,-3.85149,-0.210607,8.8216,-0.170996,-0.0667202,0.655325,-0.0707926,Neant,All,#4682B4,0
17,3,-0.115019,-3.92344,-0.354197,8.93053,-0.0800166,-0.138671,0.511734,0.0381395,Neant,All,#4682B4,0
18,3,0.00865073,-4.21601,0.297396,8.72488,0.0436527,-0.431235,1.16333,-0.167508,Neant,All,#4682B4,0
19,3,0.0110491,-2.89089,0.325453,8.91283,0.0460511,0.893882,1.19138,0.0204383,Neant,All,#4682B4,0
20,3,0.0143758,-3.92574,0.429193,8.73718,0.0493778,-0.140967,1.29512,-0.155212,Neant,All,#4682B4,0
0,4,0.0741968,-3.39185,-0.0651166,9.0509,0.109199,0.392921,0.800815,0.158509,Neant,All,#4682B4,0
1,4,0.0646454,-3.74871,0.786104,8.75748,0.0996474,0.0360622,1.65204,-0.134903,Neant,All,#4682B4,0
2,4,-0.0611009,-3.51535,-1.04676,8.57352,-0.0260989,0.269424,-0.180827,-0.318872,Neant,All,#4682B4,0
