popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
-4.9704,-2.83313,-4.9704,-7.30469,-2.63612,-10.2151,-10.3796,-10.2151,-12.5493,-7.88078,All
-4.84178,-3.14547,-4.84178,-7.17606,-2.50749,-10.033,-10.1984,-10.033,-12.3673,-7.69868,All
-4.71315,-3.45769,-4.71315,-7.04744,-2.37887,-9.85087,-10.0171,-9.85087,-12.1852,-7.51659,All
-4.58453,-3.76992,-4.58453,-6.91881,-2.25024,-9.66878,-9.83584,-9.66878,-12.0031,-7.3345,All
-4.4559,-3.83632,-4.4559,-6.79018,-2.12162,-9.48669,-9.65458,-9.48669,-11.821,-7.1524,All
-4.32727,-3.82638,-4.32727,-6.66156,-1.99299,-9.30459,-9.47332,-9.30459,-11.6389,-6.97031,All
-4.19865,-3.81644,-4.19865,-6.53293,-1.86436,-9.1225,-9.29206,-9.1225,-11.4568,-6.78821,All
-4.07002,-3.8065,-4.07002,-6.4043,-1.73574,-8.9404,-9.1108,-8.9404,-11.2747,-6.60612,All
-3.94139,-3.79656,-3.94139,-6.27568,-1.60711,-8.75831,-8.93014,-8.75831,-11.0926,-6.42403,All
-3.81277,-3.78662,-3.81277,-6.14705,-1.47848,-8.57622,-8.75456,-8.57622,-10.9105,-6.24193,All
-3.68414,-3.62965,-3.68414,-6.01843,-1.34986,-8.39412,-8.57898,-8.39412,-10.7284,-6.05984,All
-3.55552,-3.43785,-3.55552,-5.8898,-1.22123,-8.21203,-8.40341,-8.21203,-10.5463,-5.87774,All
-3.42689,-3.24606,-3.42689,-5.76117,-1.09261,-8.02993,-8.22783,-8.02993,-10.3642,-5.69565,All
-3.29826,-3.03741,-3.29826,-5.63255,-0.963981,-7.84784,-8.05225,-7.84784,-10.1821,-5.51356,All
-3.16964,-2.81641,-3.16964,-5.50392,-0.835354,-7.66575,-7.87667,-7.66575,-10,-5.33146,All
-3.04101,-2.59541,-3.04101,-5.3753,-0.706728,-7.48365,-7.70166,-7.48365,-9.81794,-5.14937,All
-2.91239,-2.37951,-2.91239,-5.24667,-0.578102,-7.30156,-7.52652,-7.30156,-9.63584,-4.96728,All
-2.78376,-2.2055,-2.78376,-5.11804,-0.449476,-7.11947,-7.3513,-7.11947,-9.45375,-4.78518,All
-2.65513,-2.03867,-2.65513,-4.98942,-0.32085,-6.93737,-7.17502,-6.93737,-9.27166,-4.60309,All
-2.52651,-1.87703,-2.52651,-4.86079,-0.192224,-6.75528,-6.99864,-6.75528,-9.08956,-4.42099,All
-2.39788,-1.79203,-2.39788,-4.73217,-0.0635981,-6.57318,-6.82226,-6.57318,-8.90747,-4.2389,All
-2.26926,-1.72783,-2.26926,-4.60354,0.065028,-6.39109,-6.64425,-6.39109,-8.72537,-4.05681,All
-2.14063,-1.66363,-2.14063,-4.47491,0.193654,-6.209,-6.46523,-6.209,-8.54328,-3.87471,All
-2.012,-1.6358,-2.012,-4.34629,0.32228,-6.0269,-6.28621,-6.0269,-8.36119,-3.69262,All
-1.88338,-1.62306,-1.88338,-4.21766,0.450906,-5.84481,-6.10628,-5.84481,-8.17909,-3.51052,All
-1.75475,-1.61033,-1.75475,-4.08904,0.579532,-5.66271,-5.92452,-5.66271,-7.997,-3.32843,All
-1.62613,-1.5969,-1.62613,-3.96041,0.708158,-5.48062,-5.74115,-5.48062,-7.8149,-3.14634,All
-1.4975,-1.56734,-1.4975,-3.83178,0.836784,-5.29853,-5.55653,-5.29853,-7.63281,-2.96424,All
-1.36887,-1.53779,-1.36887,-3.70316,0.96541,-5.11643,-5.37,-5.11643,-7.45072,-2.78215,All
-1.24025,-1.49583,-1.24025,-3.57453,1.09404,-4.93434,-5.18162,-4.93434,-7.26862,-2.60006,All
-1.11162,-1.4025,-1.11162,-3.44591,1.22266,-4.75225,-4.99222,-4.75225,-7.08653,-2.41796,All
-0.982995,-1.30434,-0.982995,-3.31728,1.35129,-4.57015,-4.80024,-4.57015,-6.90444,-2.23587,All
-0.854369,-1.20269,-0.854369,-3.18865,1.47991,-4.38806,-4.60576,-4.38806,-6.72234,-2.05377,All
-0.725743,-1.08058,-0.725743,-3.06003,1.60854,-4.20596,-4.41016,-4.20596,-6.54025,-1.87168,All
-0.597117,-0.958043,-0.597117,-2.9314,1.73717,-4.02387,-4.21243,-4.02387,-6.35815,-1.68959,All
-0.468491,-0.835504,-0.468491,-2.80278,1.86579,-3.84178,-4.0132,-3.84178,-6.17606,-1.50749,All
-0.339865,-0.72878,-0.339865,-2.67415,1.99442,-3.65968,-3.81276,-3.65968,-5.99397,-1.3254,All
