iteration,convergenceIndicator,phase,tin_pop,beta_tin_source_Neant,beta_tin_source_Wolfel,beta_pop,delta_pop,p_pop,omega_tin,omega_beta,omega_delta,omega_p,a
1,485.692,1,-4.59793,0.166465,0.043323,3.11812e-08,0.940267,5354.35,0.0098906,0.32665,0.728636,0.0406549,1.50653
2,491.878,1,-4.59626,0.165927,0.0442659,3.006e-08,0.951781,5328.64,0.0101347,0.345102,0.752322,0.0403964,1.54658
3,469.914,1,-4.5601,0.166419,0.0444283,3.11085e-08,0.886112,5355.96,0.00987806,0.336364,0.733273,0.0415168,1.50742
4,478.176,1,-4.58415,0.168335,0.0425608,2.96969e-08,0.891065,5361.14,0.00962794,0.368975,0.767935,0.0404656,1.46925
5,497.155,1,-4.49898,0.16409,0.0417138,2.80108e-08,0.895704,5372.09,0.00938415,0.406764,0.74849,0.039441,1.48689
6,506.946,1,-4.46704,0.164122,0.0433505,2.9496e-08,0.890001,5360.82,0.00999935,0.446537,0.729538,0.0384423,1.44924
7,522.433,1,-4.453,0.160638,0.0434005,3.0199e-08,0.895838,5380.81,0.0108473,0.43523,0.787026,0.0374689,1.47911
8,510.47,1,-4.31365,0.152729,0.0349767,3.07042e-08,0.950073,5354.14,0.0105726,0.44174,0.767098,0.0374747,1.50521
9,511.039,1,-4.35682,0.154314,0.0288834,3.10479e-08,0.867,5358.45,0.0103049,0.547636,0.747675,0.0367297,1.51371
10,502.616,1,-4.43385,0.155625,0.0372581,3.45553e-08,0.919895,5348.09,0.010044,0.533769,0.728743,0.0357997,1.47538
11,512.535,1,-4.49609,0.161096,0.0384035,3.38455e-08,0.908131,5372.44,0.010706,0.520254,0.710291,0.035519,1.43802
12,515.547,1,-4.61833,0.168478,0.0447098,3.13351e-08,0.87598,5365.77,0.011046,0.507081,0.700473,0.0346196,1.48835
13,506.402,1,-4.60362,0.166441,0.0417802,2.9703e-08,0.890381,5388.59,0.0116283,0.494241,0.682737,0.0342373,1.45066
14,522.818,1,-4.62818,0.167787,0.0469614,3.0537e-08,0.917035,5380.77,0.0124813,0.511361,0.66545,0.0396574,1.4372
15,569.137,1,-4.71402,0.171696,0.0557993,2.84086e-08,0.865274,5397.17,0.0139434,0.525605,0.6486,0.0449496,1.44739
16,562.191,1,-4.7738,0.176547,0.0575444,2.88931e-08,0.856226,5465.08,0.0135904,0.522456,0.637726,0.0438115,1.51171
17,565.607,1,-4.85554,0.182177,0.0637284,3.02999e-08,0.88566,5503.97,0.0148378,0.509227,0.635992,0.0427022,1.49865
18,609.896,1,-4.91292,0.185844,0.0666004,2.84349e-08,0.87438,5465.64,0.0153439,0.54229,0.6465,0.0447962,1.46071
19,562.115,1,-4.86412,0.188084,0.073939,2.89913e-08,0.885527,5478.08,0.0153233,0.563053,0.63013,0.043662,1.44193
20,571.676,1,-4.73086,0.182759,0.0701886,3.07103e-08,0.937611,5471.1,0.0149353,0.548796,0.671093,0.0425564,1.43246
21,568.131,1,-4.71368,0.186025,0.0707992,3.17718e-08,0.960031,5489.73,0.0155741,0.5349,0.678246,0.0414789,1.42549
22,588.354,1,-4.54835,0.176617,0.0568925,3.04112e-08,0.983995,5474.49,0.0159896,0.52869,0.661072,0.0438407,1.46773
23,560.245,1,-4.6817,0.181689,0.0585103,2.97405e-08,0.979624,5523.12,0.0155848,0.515303,0.707344,0.0427306,1.47478
24,591.573,1,-4.69823,0.185865,0.0522971,3.0216e-08,0.996452,5536.17,0.0167452,0.502255,0.689433,0.0430893,1.53906
25,604.448,1,-4.63351,0.175894,0.0465738,3.15448e-08,0.973376,5497.02,0.0163212,0.489538,0.671977,0.0507955,1.54984
26,607.144,1,-4.84523,0.189569,0.0571515,3.06118e-08,0.925301,5455.46,0.0167896,0.477143,0.673042,0.0539855,1.52307
27,635.408,1,-4.82999,0.191945,0.0532128,3.20002e-08,0.920966,5391.13,0.0176481,0.465061,0.712452,0.0625602,1.5105
28,612.917,1,-4.65949,0.184497,0.0279505,3.04296e-08,0.944915,5386.34,0.0172013,0.453285,0.694413,0.0609761,1.53242
29,627.456,1,-4.77557,0.191287,0.0433936,3.16363e-08,0.984143,5340.4,0.0167657,0.441808,0.724164,0.0594322,1.56261
30,597.931,1,-4.75656,0.192487,0.0438048,2.98958e-08,0.973883,5327.49,0.0163412,0.439805,0.705828,0.0579273,1.5761
31,681.496,1,-4.76503,0.189702,0.0438473,3.07871e-08,0.941275,5370.87,0.0188959,0.451215,0.786078,0.058941,1.59926
32,667.139,1,-4.74253,0.193879,0.0475726,2.90805e-08,0.922218,5363.85,0.0184203,0.451108,0.766174,0.0752689,1.55877
33,696.561,1,-4.8369,0.19712,0.0515457,3.05395e-08,0.8916,5414.78,0.0192243,0.498997,0.746774,0.0745292,1.55659
34,646.632,1,-4.8774,0.197458,0.0455615,3.08882e-08,0.948672,5406.7,0.0187375,0.486362,0.727865,0.0726421,1.52501
35,656.866,1,-4.84622,0.196808,0.0443782,3.48786e-08,0.942674,5382.39,0.018263,0.474048,0.749535,0.0719246,1.51133
36,682.942,1,-4.94731,0.202672,0.0587949,3.42893e-08,0.934394,5450.8,0.0179505,0.484181,0.735703,0.0701034,1.47306
37,654.003,1,-5.06017,0.209594,0.0677953,3.24419e-08,0.900492,5396.43,0.0174959,0.472363,0.717074,0.0702527,1.43576
38,642.166,1,-4.99355,0.203368,0.0720351,3.07857e-08,0.899158,5425.66,0.0182949,0.501765,0.729029,0.0684739,1.44324
39,669.169,1,-5.05493,0.206371,0.0793874,2.89971e-08,0.882344,5416.51,0.0197513,0.50962,0.710569,0.0667401,1.46907
40,710.887,1,-4.77265,0.187467,0.0665897,2.82895e-08,0.86749,5412.85,0.0192512,0.582948,0.692577,0.0771623,1.54266
