time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
-11,-0.555279,-11,0.00852041,-11,-0.541416,-4.9704,0.791519,-10.2151,-0.11596,-4.9704,0.75814,All
-10.5455,-0.442696,-10.5455,0.0327155,-10.5455,-0.437098,-4.84178,0.713777,-10.033,-0.116547,-4.84178,0.679744,All
-10.0909,-0.330112,-10.0909,0.0569105,-10.0909,-0.332781,-4.71315,0.636055,-9.85087,-0.117133,-4.71315,0.601366,All
-9.63636,-0.259108,-9.63636,0.0689339,-9.63636,-0.266116,-4.58453,0.558332,-9.66878,-0.11772,-4.58453,0.522989,All
-9.18182,-0.198498,-9.18182,0.0779145,-9.18182,-0.208864,-4.4559,0.522167,-9.48669,-0.118307,-4.4559,0.485284,All
-8.72727,-0.161899,-8.72727,0.0799356,-8.72727,-0.173497,-4.32727,0.498907,-9.30459,-0.118893,-4.32727,0.46021,All
-8.27273,-0.141308,-8.27273,0.0773172,-8.27273,-0.152719,-4.19865,0.475648,-9.1225,-0.11948,-4.19865,0.435136,All
-7.81818,-0.131941,-7.81818,0.0715055,-7.81818,-0.142294,-4.07002,0.452388,-8.9404,-0.120067,-4.07002,0.410062,All
-7.36364,-0.139413,-7.36364,0.0609038,-7.36364,-0.147398,-3.94139,0.429128,-8.75831,-0.121081,-3.94139,0.384988,All
-6.90909,-0.150106,-6.90909,0.0494285,-6.90909,-0.15556,-3.81277,0.405869,-8.57622,-0.125672,-3.81277,0.359913,All
-6.45455,-0.173686,-6.45455,0.0344591,-6.45455,-0.175954,-3.68414,0.407935,-8.39412,-0.130263,-3.68414,0.3601,All
-6,-0.197265,-6,0.0194897,-6,-0.196349,-3.55552,0.416003,-8.21203,-0.134854,-3.55552,0.366273,All
-5.54545,-0.224997,-5.54545,0.00376826,-5.54545,-0.221441,-3.42689,0.424071,-8.02993,-0.139445,-3.42689,0.372445,All
-5.09091,-0.252728,-5.09091,-0.0119532,-5.09091,-0.246534,-3.29826,0.435256,-7.84784,-0.144035,-3.29826,0.381936,All
-4.63636,-0.274218,-4.63636,-0.0253839,-4.63636,-0.266912,-3.16964,0.449158,-7.66575,-0.148626,-3.16964,0.39472,All
-4.18182,-0.294147,-4.18182,-0.0382418,-4.18182,-0.286111,-3.04101,0.46306,-7.48365,-0.15362,-3.04101,0.407504,All
-3.72727,-0.304065,-3.72727,-0.0475803,-3.72727,-0.296962,-2.91239,0.476279,-7.30156,-0.158521,-2.91239,0.419799,All
-3.27273,-0.307309,-3.27273,-0.0545725,-3.27273,-0.302246,-2.78376,0.483289,-7.11947,-0.16336,-2.78376,0.426895,All
-2.81818,-0.305244,-2.81818,-0.0589991,-2.81818,-0.30287,-2.65513,0.489203,-6.93737,-0.167458,-2.65513,0.433034,All
-2.36364,-0.295214,-2.36364,-0.0595773,-2.36364,-0.296502,-2.52651,0.494305,-6.75528,-0.171483,-2.52651,0.438446,All
-1.90909,-0.283826,-1.90909,-0.0588856,-1.90909,-0.28877,-2.39788,0.487304,-6.57318,-0.175509,-2.39788,0.432904,All
-1.45455,-0.267007,-1.45455,-0.0531146,-1.45455,-0.275582,-2.26926,0.476954,-6.39109,-0.17839,-2.26926,0.424278,All
-1,-0.250188,-1,-0.0473437,-1,-0.262394,-2.14063,0.466603,-6.209,-0.180556,-2.14063,0.415652,All
-0.545455,-0.233064,-0.545455,-0.0352887,-0.545455,-0.24722,-2.012,0.450004,-6.0269,-0.182723,-2.012,0.400988,All
-0.0909091,-0.215939,-0.0909091,-0.0232338,-0.0909091,-0.232045,-1.88338,0.43056,-5.84481,-0.184244,-1.88338,0.383405,All
0.363636,-0.202661,0.363636,-0.00714706,0.363636,-0.21859,-1.75475,0.411116,-5.66271,-0.184485,-1.75475,0.365821,All
0.818182,-0.190343,0.818182,0.00994761,0.818182,-0.205565,-1.62613,0.391156,-5.48062,-0.183583,-1.62613,0.347309,All
1.27273,-0.180684,1.27273,0.0264893,1.27273,-0.194644,-1.4975,0.37244,-5.29853,-0.181803,-1.4975,0.328966,All
1.72727,-0.172796,1.72727,0.0426624,1.72727,-0.185125,-1.36887,0.353725,-5.11643,-0.178675,-1.36887,0.310623,All
2.18182,-0.165981,2.18182,0.0556106,2.18182,-0.177273,-1.24025,0.336467,-4.93434,-0.174247,-1.24025,0.293233,All
2.63636,-0.160773,2.63636,0.0637215,2.63636,-0.171921,-1.11162,0.32594,-4.75225,-0.169098,-1.11162,0.280768,All
3.09091,-0.155641,3.09091,0.0694416,3.09091,-0.167228,-0.982995,0.316087,-4.57015,-0.16213,-0.982995,0.268824,All
3.54545,-0.15081,3.54545,0.0655982,3.54545,-0.165167,-0.854369,0.306876,-4.38806,-0.153407,-0.854369,0.257458,All
4,-0.14598,4,0.0617548,4,-0.163107,-0.725743,0.303123,-4.20596,-0.143887,-0.725743,0.251666,All
4.45455,-0.137006,4.45455,0.0550586,4.45455,-0.15732,-0.597117,0.300436,-4.02387,-0.132872,-0.597117,0.247223,All
4.90909,-0.128033,4.90909,0.0483624,4.90909,-0.151533,-0.468491,0.297749,-3.84178,-0.120795,-0.468491,0.242779,All
5.36364,-0.111688,5.36364,0.0492638,5.36364,-0.135921,-0.339865,0.297394,-3.65968,-0.10787,-0.339865,0.242812,All
5.81818,-0.093499,5.81818,0.0520647,5.81818,-0.117853,-0.211239,0.297978,-3.47759,-0.0944367,-0.211239,0.245087,All
6.27273,-0.0769429,6.27273,0.0582724,6.27273,-0.0997683,-0.082613,0.298561,-3.29549,-0.0804792,-0.082613,0.247361,All
6.72727,-0.0614754,6.72727,0.0667513,6.72727,-0.0816722,0.0460131,0.30036,-3.1134,-0.0663968,0.0460131,0.251921,All
7.18182,-0.0609089,7.18182,0.0614202,7.18182,-0.0807206,0.174639,0.304032,-2.93131,-0.052242,0.174639,0.259339,All
7.63636,-0.0826938,7.63636,0.0353741,7.63636,-0.105486,0.303265,0.307705,-2.74921,-0.0382916,0.303265,0.266757,All
8.09091,-0.0968857,8.09091,0.0109886,8.09091,-0.121923,0.431891,0.312048,-2.56712,-0.0252486,0.431891,0.274872,All
8.54545,-0.0807055,8.54545,-0.00675458,8.54545,-0.105048,0.560517,0.308838,-2.38503,-0.0139823,0.560517,0.273875,All
9,-0.0645254,9,-0.0244977,9,-0.0881723,0.689143,0.304897,-2.20293,-0.00531085,0.689143,0.27201,All
9.45455,-0.0626159,9.45455,-0.0207596,9.45455,-0.0886829,0.817769,0.285487,-2.02084,-0.00113992,0.817769,0.252148,All
9.90909,-0.0607063,9.90909,-0.0170215,9.90909,-0.0891934,0.946395,0.245915,-1.83874,-0.000826972,0.946395,0.209571,All
10.3636,-0.0332624,10.3636,-0.00249562,10.3636,-0.0624239,1.07502,0.203966,-1.65665,-0.00664592,1.07502,0.164549,All
10.8182,0.000565195,10.8182,0.0147272,10.8182,-0.0288343,1.20365,0.162016,-1.47456,-0.0158813,1.20365,0.119528,All
