tin_pop,1,-0.033,0.172,0.582,0.498,-0.504,-0.23,0.587,0.177,0.144,0.199
beta_tin_source_Neant,-0.033,1,0.643,0.668,0.582,-0.695,-0.0509,0.668,0.274,0.249,0.0279
beta_tin_source_Wolfel,0.172,0.643,1,0.564,0.477,-0.811,-0.232,0.611,0.669,0.428,0.188
beta_pop,0.582,0.668,0.564,1,0.758,-0.886,-0.173,0.978,0.242,0.264,0.108
delta_pop,0.498,0.582,0.477,0.758,1,-0.66,-0.134,0.726,0.266,0.217,0.154
p_pop,-0.504,-0.695,-0.811,-0.886,-0.66,1,0.224,-0.894,-0.489,-0.333,-0.189
omega_tin,-0.23,-0.0509,-0.232,-0.173,-0.134,0.224,1,-0.226,-0.115,0.0514,-0.425
omega_beta,0.587,0.668,0.611,0.978,0.726,-0.894,-0.226,1,0.271,0.298,0.13
omega_delta,0.177,0.274,0.669,0.242,0.266,-0.489,-0.115,0.271,1,0.319,0.143
omega_p,0.144,0.249,0.428,0.264,0.217,-0.333,0.0514,0.298,0.319,1,-0.0121
a,0.199,0.0279,0.188,0.108,0.154,-0.189,-0.425,0.13,0.143,-0.0121,1
