tin_pop,0.00158,-7.91e-5,0.00102,0.0197,0.00361,-0.00705,-0.000197,0.0161,0.000911,0.000352,0.000737
beta_tin_source_Neant,-7.91e-5,0.00364,0.00578,0.0343,0.00642,-0.0147,-6.63e-5,0.0278,0.00215,0.000925,0.000157
beta_tin_source_Wolfel,0.00102,0.00578,0.0222,0.0716,0.013,-0.0425,-0.000745,0.0628,0.0129,0.00392,0.00261
beta_pop,0.0197,0.0343,0.0716,0.725,0.118,-0.266,-0.00319,0.575,0.0267,0.0138,0.0086
delta_pop,0.00361,0.00642,0.013,0.118,0.0334,-0.0424,-0.00053,0.0915,0.00631,0.00244,0.00263
p_pop,-0.00705,-0.0147,-0.0425,-0.266,-0.0424,0.124,0.0017,-0.217,-0.0224,-0.0072,-0.0062
omega_tin,-0.000197,-6.63e-5,-0.000745,-0.00319,-0.00053,0.0017,0.000466,-0.00336,-0.000322,6.82e-5,-0.000856
omega_beta,0.0161,0.0278,0.0628,0.575,0.0915,-0.217,-0.00336,0.476,0.0243,0.0126,0.00835
omega_delta,0.000911,0.00215,0.0129,0.0267,0.00631,-0.0224,-0.000322,0.0243,0.0169,0.00255,0.00174
omega_p,0.000352,0.000925,0.00392,0.0138,0.00244,-0.0072,6.82e-5,0.0126,0.00255,0.00378,-6.95e-5
a,0.000737,0.000157,0.00261,0.0086,0.00263,-0.0062,-0.000856,0.00835,0.00174,-6.95e-5,0.00871
