id,tin_SAEM,iniT_SAEM,iniI_SAEM,beta_SAEM,rhoX_SAEM,k_SAEM,delta_SAEM,p_SAEM,c_SAEM,sigmaX_SAEM,phiX_SAEM,dX_SAEM,tin_mean,iniT_mean,iniI_mean,beta_mean,rhoX_mean,k_mean,delta_mean,p_mean,c_mean,sigmaX_mean,phiX_mean,dX_mean,tin_mode,iniT_mode,iniI_mode,beta_mode,rhoX_mode,k_mode,delta_mode,p_mode,c_mode,sigmaX_mode,phiX_mode,dX_mode,tin_sd,iniT_sd,iniI_sd,beta_sd,rhoX_sd,k_sd,delta_sd,p_sd,c_sd,sigmaX_sd,phiX_sd,dX_sd,source
1,-1.75346,2.66667e+6,0.0333333,3.2362e-8,2,4,1.34028,7241.2,10,1,2,0.2,-1.70841,2.66667e+6,0.0333333,2.66465e-8,2,4,1.33203,7656.21,10,1,2,0.2,-1.58582,2.66667e+6,0.0333333,2.5442e-8,2,4,1.38151,7433.54,10,1,2,0.2,0.643672,0,0,8.45377e-9,0,0,0.226444,963.556,0,0,0,0,Neant
2,-0.329724,2.66667e+6,0.0333333,2.38e-8,2,4,0.693504,7336.99,10,1,2,0.2,-1.00832,2.66667e+6,0.0333333,2.48935e-8,2,4,0.659867,7396.77,10,1,2,0.2,-0.701077,2.66667e+6,0.0333333,2.21908e-8,2,4,0.699198,7275.25,10,1,2,0.2,1.23829,0,0,7.83338e-9,0,0,0.124327,851.449,0,0,0,0,Neant
3,-1.61527,2.66667e+6,0.0333333,2.17309e-8,2,4,1.65399,6939.06,10,1,2,0.2,-1.94428,2.66667e+6,0.0333333,2.02211e-8,2,4,1.56928,6966.31,10,1,2,0.2,-1.75625,2.66667e+6,0.0333333,1.70552e-8,2,4,1.60026,6960.47,10,1,2,0.2,1.33604,0,0,9.80183e-9,0,0,0.275183,1030.47,0,0,0,0,Neant
4,-0.77619,2.66667e+6,0.0333333,2.16961e-8,2,4,1.33126,7633.29,10,1,2,0.2,-0.969478,2.66667e+6,0.0333333,2.34229e-8,2,4,1.23309,7208.9,10,1,2,0.2,-0.99591,2.66667e+6,0.0333333,2.13275e-8,2,4,1.2998,7217.55,10,1,2,0.2,1.54711,0,0,9.02003e-9,0,0,0.277539,1041.96,0,0,0,0,Neant
5,-0.239733,2.66667e+6,0.0333333,2.56085e-8,2,4,1.17047,7307.71,10,1,2,0.2,-0.343472,2.66667e+6,0.0333333,2.30586e-8,2,4,1.13973,7536.53,10,1,2,0.2,-0.257673,2.66667e+6,0.0333333,2.30291e-8,2,4,1.19596,7341.61,10,1,2,0.2,1.39831,0,0,8.51455e-9,0,0,0.244186,934.498,0,0,0,0,Neant
6,-1.06198,2.66667e+6,0.0333333,2.25688e-8,2,4,1.41912,7077.75,10,1,2,0.2,-1.21249,2.66667e+6,0.0333333,2.21608e-8,2,4,1.34351,7189.44,10,1,2,0.2,-1.03678,2.66667e+6,0.0333333,2.11873e-8,2,4,1.33065,7209.67,10,1,2,0.2,1.34293,0,0,8.76819e-9,0,0,0.312794,986.943,0,0,0,0,Neant
7,-0.27136,2.66667e+6,0.0333333,2.70464e-8,2,4,0.874824,7545.78,10,1,2,0.2,-0.807071,2.66667e+6,0.0333333,2.25031e-8,2,4,0.815027,7317.13,10,1,2,0.2,-0.481871,2.66667e+6,0.0333333,2.28746e-8,2,4,0.868734,7325.99,10,1,2,0.2,1.26898,0,0,7.27544e-9,0,0,0.153211,919.027,0,0,0,0,Neant
8,-0.449465,2.66667e+6,0.0333333,2.73386e-8,2,4,0.442398,7620.28,10,1,2,0.2,-0.457728,2.66667e+6,0.0333333,2.5219e-8,2,4,0.428972,7400.45,10,1,2,0.2,-0.493348,2.66667e+6,0.0333333,2.35213e-8,2,4,0.463906,7369.59,10,1,2,0.2,1.23635,0,0,8.76308e-9,0,0,0.0898062,1021.08,0,0,0,0,Neant
9,-1.18676,2.66667e+6,0.0333333,2.01775e-8,2,4,1.02726,7239.68,10,1,2,0.2,-1.3039,2.66667e+6,0.0333333,2.11483e-8,2,4,1.04926,7250.67,10,1,2,0.2,-1.31762,2.66667e+6,0.0333333,1.86513e-8,2,4,1.05986,7054.94,10,1,2,0.2,1.36962,0,0,8.51027e-9,0,0,0.214543,1060.42,0,0,0,0,Neant
10,-0.00614352,2.66667e+6,0.0333333,2.43595e-8,2,4,0.651023,7347.79,10,1,2,0.2,-0.317137,2.66667e+6,0.0333333,2.67338e-8,2,4,0.645414,7286.08,10,1,2,0.2,-0.241223,2.66667e+6,0.0333333,2.38972e-8,2,4,0.680963,7403.87,10,1,2,0.2,1.35527,0,0,9.68672e-9,0,0,0.129781,936.14,0,0,0,0,Neant
