id,eta_tin_SAEM,eta_iniT_SAEM,eta_iniI_SAEM,eta_beta_SAEM,eta_rhoX_SAEM,eta_k_SAEM,eta_delta_SAEM,eta_p_SAEM,eta_c_SAEM,eta_sigmaX_SAEM,eta_phiX_SAEM,eta_dX_SAEM,eta_tin_mean,eta_iniT_mean,eta_iniI_mean,eta_beta_mean,eta_rhoX_mean,eta_k_mean,eta_delta_mean,eta_p_mean,eta_c_mean,eta_sigmaX_mean,eta_phiX_mean,eta_dX_mean,eta_tin_mode,eta_iniT_mode,eta_iniI_mode,eta_beta_mode,eta_rhoX_mode,eta_k_mode,eta_delta_mode,eta_p_mode,eta_c_mode,eta_sigmaX_mode,eta_phiX_mode,eta_dX_mode,eta_tin_sd,eta_iniT_sd,eta_iniI_sd,eta_beta_sd,eta_rhoX_sd,eta_k_sd,eta_delta_sd,eta_p_sd,eta_c_sd,eta_sigmaX_sd,eta_phiX_sd,eta_dX_sd,source
1,-0.0602302,0,0,0.278587,0,0,0.561866,-0.00445813,0,0,0,0,-0.0504939,0,0,0.138659,0,0,0.555479,0.0431487,0,0,0,0,-0.0443304,0,0,0.139191,0,0,0.632475,0.0213691,0,0,0,0,0.0322631,0,0,0.318305,0,0,0.326857,0.123913,0,0,0,0,Neant
2,0.0110409,0,0,-0.0264501,0,0,-0.517922,0.00821787,0,0,0,0,-0.0154743,0,0,0.0680006,0,0,-0.591545,0.00982763,0,0,0,0,-5.54605e-5,0,0,-0.000864399,0,0,-0.479489,-0.00015489,0,0,0,0,0.0620138,0,0,0.322006,0,0,0.302072,0.114723,0,0,0,0,Neant
3,-0.0533254,0,0,-0.134106,0,0,1.01601,-0.0501897,0,0,0,0,-0.0623947,0,0,-0.196996,0,0,0.894564,-0.0538652,0,0,0,0,-0.0528669,0,0,-0.269323,0,0,0.935282,-0.0443856,0,0,0,0,0.066996,0,0,0.449742,0,0,0.393826,0.141743,0,0,0,0,Neant
4,-0.0113046,0,0,-0.128565,0,0,0.54826,0.0455503,0,0,0,0,-0.0135748,0,0,-0.0170417,0,0,0.405659,-0.0199133,0,0,0,0,-0.0148038,0,0,-0.0414284,0,0,0.517341,-0.00811642,0,0,0,0,0.0775853,0,0,0.388578,0,0,0.412737,0.146406,0,0,0,0,Neant
5,0.0155392,0,0,0.0713704,0,0,0.311326,-0.000591613,0,0,0,0,0.017811,0,0,-0.0262421,0,0,0.266935,0.0273505,0,0,0,0,0.0221182,0,0,0.0370744,0,0,0.367531,0.0089251,0,0,0,0,0.0699854,0,0,0.368055,0,0,0.371561,0.125224,0,0,0,0,Neant
6,-0.0256309,0,0,-0.0719795,0,0,0.675085,-0.0282689,0,0,0,0,-0.0257074,0,0,-0.083003,0,0,0.565314,-0.0217877,0,0,0,0,-0.0168488,0,0,-0.0481655,0,0,0.56104,-0.00920862,0,0,0,0,0.0672667,0,0,0.419673,0,0,0.4549,0.141364,0,0,0,0,Neant
7,0.0139641,0,0,0.112088,0,0,-0.166133,0.0388154,0,0,0,0,-0.00539643,0,0,-0.0398835,0,0,-0.272405,-0.00247052,0,0,0,0,0.0109073,0,0,0.030185,0,0,-0.153795,0.00679632,0,0,0,0,0.0635248,0,0,0.338389,0,0,0.291232,0.127833,0,0,0,0,Neant
8,0.00504381,0,0,0.119745,0,0,-1.18657,0.0453091,0,0,0,0,0.0120982,0,0,0.0671045,0,0,-1.2289,0.00739001,0,0,0,0,0.0103333,0,0,0.0587241,0,0,-1.07555,0.01273,0,0,0,0,0.0618782,0,0,0.371053,0,0,0.321609,0.138354,0,0,0,0,Neant
9,-0.0318986,0,0,-0.192168,0,0,0.0832679,-0.00628119,0,0,0,0,-0.0303099,0,0,-0.123632,0,0,0.124974,-0.0143357,0,0,0,0,-0.0309026,0,0,-0.178242,0,0,0.1622,-0.0309044,0,0,0,0,0.068697,0,0,0.388385,0,0,0.347598,0.147635,0,0,0,0,Neant
10,0.0272362,0,0,0.0156789,0,0,-0.622648,0.00739848,0,0,0,0,0.0191247,0,0,0.130921,0,0,-0.625274,-0.00694992,0,0,0,0,0.0229407,0,0,0.0749641,0,0,-0.518288,0.0173706,0,0,0,0,0.0678449,0,0,0.349874,0,0,0.306718,0.128983,0,0,0,0,Neant
11,0.0055666,0,0,-0.0459093,0,0,-0.0552102,-0.00738253,0,0,0,0,0.0226201,0,0,-0.0996345,0,0,-0.12259,-0.00212758,0,0,0,0,0.00158714,0,0,0.00444373,0,0,-0.0123646,0.000935476,0,0,0,0,0.0622134,0,0,0.373219,0,0,0.273829,0.131809,0,0,0,0,Neant
