rep,id,tin,iniT,iniI,beta,rhoX,k,delta,p,c,sigmaX,phiX,dX,source
1,1,-2.36987214667068,2666667,0.0333333,2.00900401547372e-8,2,4,1.04426628922763,7224.09200177911,10,1,2,0.2,Neant
2,1,-1.86574793335313,2666667,0.0333333,1.14072698212022e-8,2,4,1.06518789376477,8609.90170510694,10,1,2,0.2,Neant
3,1,-1.41472406585825,2666667,0.0333333,2.68967218359131e-8,2,4,1.44798237239476,6896.59802789071,10,1,2,0.2,Neant
4,1,-1.41472406585825,2666667,0.0333333,2.49131708231541e-8,2,4,1.45369179666223,8206.97313048668,10,1,2,0.2,Neant
5,1,-0.848101945518777,2666667,0.0333333,4.0484472671182e-8,2,4,1.32767063084717,10098.432817354,10,1,2,0.2,Neant
6,1,-1.5566388861554,2666667,0.0333333,1.55699453950842e-8,2,4,1.45674191001697,9536.84140460184,10,1,2,0.2,Neant
7,1,-1.43827154206727,2666667,0.0333333,1.95253136311638e-8,2,4,1.23392099680186,8867.09086733833,10,1,2,0.2,Neant
8,1,-2.3279104040718,2666667,0.0333333,3.84163154521818e-8,2,4,1.83451386931123,7415.27790069822,10,1,2,0.2,Neant
9,1,-1.54706471444428,2666667,0.0333333,4.83353537159984e-8,2,4,1.29710534467006,7741.69842476654,10,1,2,0.2,Neant
10,1,-1.68226661104197,2666667,0.0333333,2.69481705944199e-8,2,4,1.33896015648996,7118.81644407192,10,1,2,0.2,Neant
11,1,-1.68226661104197,2666667,0.0333333,2.0018961159147e-8,2,4,1.28791399354747,8651.13267566316,10,1,2,0.2,Neant
12,1,-1.4107257171267,2666667,0.0333333,3.3230477153035e-8,2,4,1.07545301867578,7870.80317268142,10,1,2,0.2,Neant
13,1,-0.805760572227728,2666667,0.0333333,2.78206523151222e-8,2,4,1.625316274181,7460.666359753,10,1,2,0.2,Neant
14,1,-2.47484575122412,2666667,0.0333333,4.14876233609707e-8,2,4,1.2343502666728,7400.04076151948,10,1,2,0.2,Neant
15,1,-1.81779500398962,2666667,0.0333333,1.96049791346291e-8,2,4,1.19212270288195,6502.34617197794,10,1,2,0.2,Neant
16,1,-0.722619087146977,2666667,0.0333333,1.85070486187734e-8,2,4,1.64285562852683,8709.71107639102,10,1,2,0.2,Neant
17,1,-1.44211613329541,2666667,0.0333333,2.26640659015295e-8,2,4,1.29507393152227,7500.20435301698,10,1,2,0.2,Neant
18,1,-1.92798241957851,2666667,0.0333333,3.31956259321078e-8,2,4,0.930748732583573,7426.59141179471,10,1,2,0.2,Neant
19,1,-1.99415070620608,2666667,0.0333333,5.01190747946678e-8,2,4,1.2078214345472,7954.75149743795,10,1,2,0.2,Neant
20,1,-1.84940455900514,2666667,0.0333333,2.75855651970377e-8,2,4,1.23796898186112,7837.04897127101,10,1,2,0.2,Neant
21,1,-2.22178918636432,2666667,0.0333333,2.65283126542987e-8,2,4,1.26343373391527,6209.12746562236,10,1,2,0.2,Neant
1,2,-0.387013601618726,2666667,0.0333333,1.74714603500435e-8,2,4,0.752951176648806,6597.26416826362,10,1,2,0.2,Neant
2,2,1.98070316054088,2666667,0.0333333,3.12451663539122e-8,2,4,0.794177038388135,5754.16963998675,10,1,2,0.2,Neant
3,2,-0.24949763004214,2666667,0.0333333,1.82401110972998e-8,2,4,0.637679024660501,8055.29755607334,10,1,2,0.2,Neant
4,2,-0.620027734291668,2666667,0.0333333,1.59624662421004e-8,2,4,0.664206310567494,8055.29755607334,10,1,2,0.2,Neant
5,2,-2.06454420339497,2666667,0.0333333,2.34675809235486e-8,2,4,0.628263709457989,7220.91494603375,10,1,2,0.2,Neant
6,2,-3.94076753975234,2666667,0.0333333,2.12187789652143e-8,2,4,0.458978584678728,6128.27419450786,10,1,2,0.2,Neant
7,2,-1.84792523587509,2666667,0.0333333,1.44955362434752e-8,2,4,0.605464112856235,8788.5181398582,10,1,2,0.2,Neant
8,2,0.016846476040164,2666667,0.0333333,2.16410850674841e-8,2,4,0.516341019744525,6792.22947588505,10,1,2,0.2,Neant
9,2,-0.982168015350032,2666667,0.0333333,4.03823736345925e-8,2,4,0.751063069237515,7725.40279058252,10,1,2,0.2,Neant
10,2,-0.982168015350032,2666667,0.0333333,2.11533168230073e-8,2,4,0.810570180358027,7725.40279058252,10,1,2,0.2,Neant
11,2,-0.395576272166036,2666667,0.0333333,3.6976281007614e-8,2,4,0.79198410785785,7507.66153400489,10,1,2,0.2,Neant
12,2,-2.05526137057115,2666667,0.0333333,3.22933843470024e-8,2,4,0.679669994865896,7470.5535210637,10,1,2,0.2,Neant
13,2,0.160230965871588,2666667,0.0333333,2.49700647774172e-8,2,4,0.942207422418965,8824.47882351684,10,1,2,0.2,Neant
14,2,-0.463866560418442,2666667,0.0333333,2.90446374960153e-8,2,4,0.839991655725829,9473.77796345564,10,1,2,0.2,Neant
15,2,-1.43887695889524,2666667,0.0333333,2.73594450197297e-8,2,4,0.723869999325503,7371.49978187971,10,1,2,0.2,Neant
16,2,-2.13304496376202,2666667,0.0333333,2.89388278582569e-8,2,4,0.778489827598847,6583.19985590806,10,1,2,0.2,Neant
17,2,-1.61624329638884,2666667,0.0333333,1.98899917730109e-8,2,4,0.674573668012778,7607.11319072719,10,1,2,0.2,Neant
18,2,1.48255127550707,2666667,0.0333333,2.37327510129011e-8,2,4,0.786180206939058,7720.62278253936,10,1,2,0.2,Neant
19,2,1.49101535824162,2666667,0.0333333,2.18679644834391e-8,2,4,0.762298672686742,6723.92053081502,10,1,2,0.2,Neant
20,2,-0.00866268866920853,2666667,0.0333333,3.12815135470642e-8,2,4,0.741108496342578,6238.39855770965,10,1,2,0.2,Neant
21,2,-0.536962778065971,2666667,0.0333333,2.62833589080104e-8,2,4,0.558378827658132,6874.64593208135,10,1,2,0.2,Neant
1,3,-2.16376228418743,2666667,0.0333333,3.17446018811354e-8,2,4,1.44506728035528,5960.360876217,10,1,2,0.2,Neant
2,3,-3.07990456031859,2666667,0.0333333,1.53144354100202e-8,2,4,1.46782623789533,6023.15091490217,10,1,2,0.2,Neant
3,3,-3.68219067066188,2666667,0.0333333,2.09629466628364e-8,2,4,1.35302843610742,6515.64383064607,10,1,2,0.2,Neant
4,3,-2.56348565409346,2666667,0.0333333,1.52836922596386e-8,2,4,1.48186007161626,7465.29744960019,10,1,2,0.2,Neant
5,3,-0.847722694482746,2666667,0.0333333,1.16605056521145e-8,2,4,1.17855579085303,6603.66986254652,10,1,2,0.2,Neant
6,3,-0.787342699666179,2666667,0.0333333,1.72510994381814e-8,2,4,1.50367697342202,6686.75284149806,10,1,2,0.2,Neant
7,3,0.0552988466167484,2666667,0.0333333,3.33471867142204e-8,2,4,1.30609427373214,7464.04108730429,10,1,2,0.2,Neant
8,3,-1.14311747090014,2666667,0.0333333,4.6269451134589e-8,2,4,1.5205103593089,6807.28746733144,10,1,2,0.2,Neant
9,3,-3.28090040406241,2666667,0.0333333,9.03538161264239e-9,2,4,1.58301748004704,8992.40105674417,10,1,2,0.2,Neant
10,3,-2.97951185513149,2666667,0.0333333,2.29774542187002e-8,2,4,1.29909422362172,9302.54530282073,10,1,2,0.2,Neant
11,3,-3.06513962754011,2666667,0.0333333,1.0039755254047e-8,2,4,1.70914911269887,7885.76349411427,10,1,2,0.2,Neant
12,3,-2.44383370268563,2666667,0.0333333,3.85040877431614e-8,2,4,1.70526343029382,6073.66111443424,10,1,2,0.2,Neant
13,3,-3.23589386054644,2666667,0.0333333,7.96929635243124e-9,2,4,1.20556213368592,5456.32668960156,10,1,2,0.2,Neant
14,3,-4.35578370769215,2666667,0.0333333,1.67870482079061e-8,2,4,1.15962261685538,6250.21230994693,10,1,2,0.2,Neant
15,3,-2.85087845261106,2666667,0.0333333,1.06057995069101e-8,2,4,1.1832485590244,7494.99914144364,10,1,2,0.2,Neant
16,3,-0.154643674244198,2666667,0.0333333,1.66543562473847e-8,2,4,1.28313419777163,5800.8797824347,10,1,2,0.2,Neant
17,3,-4.10544665700315,2666667,0.0333333,2.08059194171295e-8,2,4,1.39787196647333,6779.0694118887,10,1,2,0.2,Neant
18,3,-2.29784028937687,2666667,0.0333333,1.93895115651489e-8,2,4,1.29585837833882,7559.24930880916,10,1,2,0.2,Neant
19,3,0.173013578340541,2666667,0.0333333,1.45428387557052e-8,2,4,1.76403658940428,6154.13836854178,10,1,2,0.2,Neant
20,3,0.220980322087266,2666667,0.0333333,5.26057479285525e-8,2,4,1.78389244793984,7426.61882456123,10,1,2,0.2,Neant
21,3,0.287510456073582,2666667,0.0333333,1.93459044968616e-8,2,4,1.85647475906884,6230.27432928264,10,1,2,0.2,Neant
1,4,1.48325624014083,2666667,0.0333333,3.2551097831605e-8,2,4,1.50280715419849,8526.17785503864,10,1,2,0.2,Neant
2,4,1.29245726887637,2666667,0.0333333,2.30063491504926e-8,2,4,2.09228301944929,6358.09979696125,10,1,2,0.2,Neant
3,4,-1.2216388615983,2666667,0.0333333,2.8878661420495e-8,2,4,0.853559358800779,5289.69155876244,10,1,2,0.2,Neant
4,4,-1.85710030458965,2666667,0.0333333,2.64962117656119e-8,2,4,1.21095030614991,5420.27444759166,10,1,2,0.2,Neant
5,4,0.994417407346009,2666667,0.0333333,1.4306185183688e-8,2,4,1.15958805394604,7134.61098061284,10,1,2,0.2,Neant
6,4,0.969755279683693,2666667,0.0333333,3.24993939470789e-8,2,4,1.52036624610718,7074.76107306804,10,1,2,0.2,Neant
7,4,-0.84706590282108,2666667,0.0333333,1.69199552880713e-8,2,4,1.09816009764575,6229.65326466338,10,1,2,0.2,Neant
8,4,0.502767192230004,2666667,0.0333333,2.63959683045636e-8,2,4,1.55850766955009,8443.57884244036,10,1,2,0.2,Neant
9,4,-0.963673767032335,2666667,0.0333333,2.05919308720934e-8,2,4,1.78480968473962,7657.92989256169,10,1,2,0.2,Neant
10,4,-0.297707982616615,2666667,0.0333333,1.50702959208803e-8,2,4,0.981551870490566,8440.59714350897,10,1,2,0.2,Neant
11,4,1.27000575063166,2666667,0.0333333,2.17381116394704e-8,2,4,1.49036914659176,7983.87996219422,10,1,2,0.2,Neant
12,4,-2.08096668055664,2666667,0.0333333,3.37883717996735e-8,2,4,1.10943688215009,7004.4033005533,10,1,2,0.2,Neant
13,4,-1.56311527779141,2666667,0.0333333,3.35033471979877e-8,2,4,1.32347654966448,6751.29992524802,10,1,2,0.2,Neant
14,4,0.135613131730242,2666667,0.0333333,1.99163685675525e-8,2,4,1.39782775776474,6729.84088974651,10,1,2,0.2,Neant
15,4,-1.58169808294976,2666667,0.0333333,4.31120737875146e-8,2,4,1.10752424734657,8037.15122760422,10,1,2,0.2,Neant
16,4,-2.38025653266534,2666667,0.0333333,1.07496905345627e-8,2,4,0.877352126268352,8232.56949410735,10,1,2,0.2,Neant
17,4,0.326127853144901,2666667,0.0333333,2.25948042529395e-8,2,4,1.28018141777874,7448.3398895091,10,1,2,0.2,Neant
18,4,-2.29680019989997,2666667,0.0333333,1.83908163672248e-8,2,4,1.00162510627123,7616.97691318739,10,1,2,0.2,Neant
19,4,1.29464587387572,2666667,0.0333333,1.69945292457892e-8,2,4,1.46475789782527,6398.33313753673,10,1,2,0.2,Neant
20,4,0.419775930866603,2666667,0.0333333,1.29795521156608e-8,2,4,1.10420799424402,5194.00095651913,10,1,2,0.2,Neant
21,4,1.08620874940293,2666667,0.0333333,3.42806823888241e-8,2,4,1.62038590713127,6758.27598692118,10,1,2,0.2,Neant
1,5,-1.6707255471164,2666667,0.0333333,2.54065608848249e-8,2,4,0.786725329955088,7629.53739837873,10,1,2,0.2,Neant
2,5,0.944437149205772,2666667,0.0333333,1.53797813394779e-8,2,4,0.830704930905854,6018.86673795196,10,1,2,0.2,Neant
3,5,1.07795931869763,2666667,0.0333333,2.42690369275257e-8,2,4,1.24366501168961,8390.26060750957,10,1,2,0.2,Neant
4,5,0.674268821795679,2666667,0.0333333,2.17544131732294e-8,2,4,1.13352574790667,8117.53385693109,10,1,2,0.2,Neant
5,5,-2.91717507281251,2666667,0.0333333,2.14915018212401e-8,2,4,0.971772184853423,6746.87981471152,10,1,2,0.2,Neant
6,5,0.945344464402926,2666667,0.0333333,2.72690396470187e-8,2,4,1.13252508282677,5798.93619846264,10,1,2,0.2,Neant
7,5,-0.861406762294133,2666667,0.0333333,1.67049697785413e-8,2,4,1.22022038633493,8020.8370248339,10,1,2,0.2,Neant
8,5,-0.845434689153044,2666667,0.0333333,2.8905714646227e-8,2,4,1.06613659153941,6760.76949859965,10,1,2,0.2,Neant
9,5,2.25737056482907,2666667,0.0333333,1.25012965456296e-8,2,4,1.50596660615638,7475.69080352628,10,1,2,0.2,Neant
10,5,0.702809057661688,2666667,0.0333333,5.56100142181309e-8,2,4,1.36060901624015,7660.74862778296,10,1,2,0.2,Neant
11,5,0.702809057661688,2666667,0.0333333,1.31526319137116e-8,2,4,1.0041779533159,8136.47202582701,10,1,2,0.2,Neant
12,5,-2.98486165548029,2666667,0.0333333,2.14092919057311e-8,2,4,0.968874989020439,7691.1865449418,10,1,2,0.2,Neant
