rep,id,eta_tin,eta_iniT,eta_iniI,eta_beta,eta_rhoX,eta_k,eta_delta,eta_p,eta_c,eta_sigmaX,eta_phiX,eta_dX,source
1,1,-0.083630546220541,0,0,-0.102464422902148,0,0,0.13781918285998,-0.0072108818916899,0,0,0,0,Neant
2,1,-0.0583531395875607,0,0,-0.677259502159672,0,0,0.170488965009002,0.168280468512341,0,0,0,0,Neant
3,1,-0.0357637215238285,0,0,0.196286283004249,0,0,0.724984827943561,-0.0536041829150664,0,0,0,0,Neant
4,1,-0.0357637215238285,0,0,0.117642179014193,0,0,0.732896910715462,0.120351741168913,0,0,0,0,Neant
5,1,-0.00740945474055888,0,0,0.619262100983429,0,0,0.556832763530731,0.327747811710779,0,0,0,0,Neant
6,1,-0.0428692723602132,0,0,-0.361948280892116,0,0,0.737122018813609,0.270529907475287,0,0,0,0,Neant
7,1,-0.0369425946711443,0,0,-0.131552980321542,0,0,0.422851370388506,0.197714334657913,0,0,0,0,Neant
8,1,-0.0815251990126187,0,0,0.564672743536858,0,0,1.26352057608448,0.0189100195684859,0,0,0,0,Neant
9,1,-0.042389842156782,0,0,0.804722632738956,0,0,0.513508560557648,0.0619886647554756,0,0,0,0,Neant
10,1,-0.0491609768072967,0,0,0.198250154448515,0,0,0.572760298412787,-0.0218909516572399,0,0,0,0,Neant
11,1,-0.0491609768072967,0,0,-0.106081251702447,0,0,0.500417980531397,0.173057824036345,0,0,0,0,Neant
12,1,-0.0355635544046718,0,0,0.414279406041662,0,0,0.186387785065554,0.0785276787023905,0,0,0,0,Neant
13,1,-0.00529148068848041,0,0,0.231010421670567,0,0,0.969909766474798,0.0250123010919112,0,0,0,0,Neant
14,1,-0.0888985493344402,0,0,0.644784764845528,0,0,0.423472963325712,0.0168530750101483,0,0,0,0,Neant
15,1,-0.0559503988353581,0,0,-0.127399912243703,0,0,0.361901515345059,-0.112469372188202,0,0,0,0,Neant
16,1,-0.00113288708452563,0,0,-0.186151077009525,0,0,0.994183910278124,0.179806185333893,0,0,0,0,Neant
17,1,-0.0371350737527521,0,0,0.0207223241337605,0,0,0.510617974740753,0.0302978337417543,0,0,0,0,Neant
18,1,-0.0614718779866498,0,0,0.413194034382181,0,0,-0.0466830605742967,0.0204345597796351,0,0,0,0,Neant
19,1,-0.0647882643936652,0,0,0.842837124470033,0,0,0.384895131780054,0.089136989266546,0,0,0,0,Neant
20,1,-0.0575342047286489,0,0,0.222282638225424,0,0,0.428709619410035,0.0742299232796406,0,0,0,0,Neant
21,1,-0.076201917670599,0,0,0.182115912945191,0,0,0.465397666943729,-0.158612052155273,0,0,0,0,Neant
1,2,0.0156507146916213,0,0,-0.244788589519503,0,0,-0.369938969385236,-0.0979773903630689,0,0,0,0,Neant
2,2,0.134118220373966,0,0,0.350625206583845,0,0,-0.290197244866823,-0.23470768670637,0,0,0,0,Neant
3,2,0.0225269553393383,0,0,-0.200951601383862,0,0,-0.614206433093101,0.101697522991341,0,0,0,0,Neant
4,2,0.00399812863732202,0,0,-0.33665184459144,0,0,-0.554755366592416,0.101697522991341,0,0,0,0,Neant
5,2,-0.0683170228691361,0,0,0.0563840737877725,0,0,-0.635850297102186,-0.00765076479490677,0,0,0,0,Neant
6,2,-0.162677603607548,0,0,-0.0466494665827812,0,0,-1.0911270051049,-0.171719257526389,0,0,0,0,Neant
7,2,-0.0574600802440037,0,0,-0.434540809995773,0,0,-0.689535992326025,0.188813679215297,0,0,0,0,Neant
8,2,0.0358443224782288,0,0,-0.0265109076574423,0,0,-0.920051791566438,-0.0688531988577832,0,0,0,0,Neant
9,2,-0.0141162750077393,0,0,0.616630583606298,0,0,-0.373674718178046,0.0598815291019914,0,0,0,0,Neant
10,2,-0.0141162750077393,0,0,-0.049806218482499,0,0,-0.259397041823819,0.0598815291019914,0,0,0,0,Neant
11,2,0.0152225401885338,0,0,0.52497070068945,0,0,-0.29435494298158,0.0312916034965985,0,0,0,0,Neant
12,2,-0.067851647049308,0,0,0.384705521202724,0,0,-0.521074058805972,0.0263366621065859,0,0,0,0,Neant
13,2,0.0430135897721159,0,0,0.119981614444315,0,0,-0.0274311220600342,0.192897110751908,0,0,0,0,Neant
14,2,0.0118076308217847,0,0,0.275325463271166,0,0,-0.205296781585148,0.263895334319098,0,0,0,0,Neant
15,2,-0.0369729047166149,0,0,0.213819302855285,0,0,-0.428358227324268,0.012988750219817,0,0,0,0,Neant
16,2,-0.0717515171967459,0,0,0.271566841746165,0,0,-0.320141342669748,-0.100111506076706,0,0,0,0,Neant
17,2,-0.0458541886923716,0,0,-0.112676050150953,0,0,-0.532098678865786,0.0444513222178612,0,0,0,0,Neant
18,2,0.109163534009426,0,0,0.0678917131261646,0,0,-0.305402758028155,0.0592625985980734,0,0,0,0,Neant
19,2,0.109587323646138,0,0,-0.0158498204003556,0,0,-0.351556131309425,-0.0789610367583273,0,0,0,0,Neant
20,2,0.0345688641861858,0,0,0.351825340800813,0,0,-0.393499111082301,-0.153908925447628,0,0,0,0,Neant
21,2,0.00815224682003264,0,0,0.172587748630693,0,0,-0.806789863616973,-0.0567922920599852,0,0,0,0,Neant
1,3,-0.07329182673925,0,0,0.36699888714859,0,0,0.720943428873088,-0.199501404553205,0,0,0,0,Neant
2,3,-0.119298643582091,0,0,-0.378754402735991,0,0,0.752466977511441,-0.189021903316535,0,0,0,0,Neant
3,3,-0.149630248177413,0,0,-0.0590409660667127,0,0,0.59255685651245,-0.110426404988113,0,0,0,0,Neant
4,3,-0.0933481952806626,0,0,-0.3807951034002,0,0,0.771876287505753,0.0256328425932831,0,0,0,0,Neant
5,3,-0.00739048366415965,0,0,-0.655046620847983,0,0,0.341924879714389,-0.0970068992189253,0,0,0,0,Neant
6,3,-0.00437022171049892,0,0,-0.25770567930669,0,0,0.802016092208513,-0.0845040521535857,0,0,0,0,Neant
7,3,0.0377669427187343,0,0,0.417906105553329,0,0,0.526281994799898,0.0254645347615884,0,0,0,0,Neant
8,3,-0.0221694422524208,0,0,0.75887284186681,0,0,0.82525069615758,-0.066638708789802,0,0,0,0,Neant
9,3,-0.129412395211962,0,0,-0.912758581186993,0,0,0.911480897445187,0.211747460164719,0,0,0,0,Neant
10,3,-0.114250041999236,0,0,0.0347758447546121,0,0,0.516337211413361,0.245655617690454,0,0,0,0,Neant
11,3,-0.118556015245396,0,0,-0.806339959355378,0,0,1.08633560645759,0.0804266109056699,0,0,0,0,Neant
12,3,-0.0873420629675776,0,0,0.56704618647293,0,0,1.08091229284286,-0.180670861247391,0,0,0,0,Neant
13,3,-0.127147035498205,0,0,-1.03938576691618,0,0,0.381593789476707,-0.287856637623264,0,0,0,0,Neant
14,3,-0.183654214313182,0,0,-0.285445992923506,0,0,0.313873844859663,-0.152017000735379,0,0,0,0,Neant
15,3,-0.107784022067301,0,0,-0.75091977307691,0,0,0.348846139814892,0.0296035835057603,0,0,0,0,Neant
16,3,0.0272697763904059,0,0,-0.293516771707511,0,0,0.493598268593717,-0.226622840822453,0,0,0,0,Neant
17,3,-0.170995716642843,0,0,-0.0667202437362659,0,0,0.655324879917636,-0.0707925958499264,0,0,0,0,Neant
18,3,-0.0800166495665649,0,0,-0.138670956932215,0,0,0.511734371586864,0.0381394539862812,0,0,0,0,Neant
19,3,0.0436527314913029,0,0,-0.431234876607923,0,0,1.16332724754956,-0.167507672525231,0,0,0,0,Neant
20,3,0.0460511271388603,0,0,0.89388215583129,0,0,1.19138449179786,0.0204382509367794,0,0,0,0,Neant
21,3,0.049377769003029,0,0,-0.140966960983474,0,0,1.29512468705708,-0.155212068075613,0,0,0,0,Neant
1,4,0.109198830752154,0,0,0.392920575683482,0,0,0.800815092648403,0.158508744941374,0,0,0,0,Neant
2,4,0.099647365541459,0,0,0.0360621637180057,0,0,1.6520355435908,-0.134902874850771,0,0,0,0,Neant
3,4,-0.0260989465024668,0,0,0.269423629533842,0,0,-0.180826769029486,-0.318872495800054,0,0,0,0,Neant
4,4,-0.0579198197665974,0,0,0.180872143637659,0,0,0.389462871219829,-0.29448598324163,0,0,0,0,Neant
5,4,0.0847331159765723,0,0,-0.447881710392141,0,0,0.313822446034997,-0.0196747067450215,0,0,0,0,Neant
6,4,0.0834992657788999,0,0,0.39127747932978,0,0,0.825051836672466,-0.0280987611302702,0,0,0,0,Neant
7,4,-0.00735762933611261,0,0,-0.277424744946234,0,0,0.221268287768306,-0.155311757999987,0,0,0,0,Neant
8,4,0.0601416821853073,0,0,0.17697868933592,0,0,0.877666523369989,0.148773818697337,0,0,0,0,Neant
9,4,-0.0131910151829107,0,0,-0.0772769949964649,0,0,1.19268358016989,0.0511092647175752,0,0,0,0,Neant
10,4,0.0201163246336257,0,0,-0.395072534075409,0,0,0.0375312732119148,0.148420624207436,0,0,0,0,Neant
11,4,0.0985236366859737,0,0,-0.0219383076223467,0,0,0.783635804060829,0.0927920706025807,0,0,0,0,Neant
12,4,-0.069140357554697,0,0,0.431505915936304,0,0,0.238449574383168,-0.038093439271323,0,0,0,0,Neant
13,4,-0.04319358514474,0,0,0.422739604036059,0,0,0.550905834703236,-0.0748973656370204,0,0,0,0,Neant
14,4,0.0417826811928014,0,0,-0.11132388224276,0,0,0.655263223518162,-0.0780809320606804,0,0,0,0,Neant
15,4,-0.0441241634321034,0,0,0.684888906326412,0,0,0.235541859570336,0.0994422619798747,0,0,0,0,Neant
16,4,-0.0841516025498677,0,0,-0.73729833715188,0,0,-0.138594478604311,0.123465743168745,0,0,0,0,Neant
17,4,0.0513087526184407,0,0,0.0175907680918676,0,0,0.489381032817835,0.0233587404391825,0,0,0,0,Neant
18,4,-0.0799644729856459,0,0,-0.192569730325937,0,0,0.0700409046709664,0.0457471269290884,0,0,0,0,Neant
19,4,0.0997569103531211,0,0,-0.272951113038581,0,0,0.748220630873545,-0.128594924314784,0,0,0,0,Neant
20,4,0.0559915657361447,0,0,-0.546543462208357,0,0,0.230494141272763,-0.337128136099227,0,0,0,0,Neant
21,4,0.08932579161855,0,0,0.446480858609479,0,0,0.96309204377911,-0.0738646074899741,0,0,0,0,Neant
1,5,-0.0485829081429846,0,0,0.137759133975156,0,0,-0.304362375426464,0.0473947806519303,0,0,0,0,Neant
2,5,0.0822326340396948,0,0,-0.374430165968698,0,0,-0.222216141750232,-0.189733441408317,0,0,0,0,Neant
3,5,0.0889130180074184,0,0,0.0907865307903517,0,0,0.436940455364696,0.142439148180178,0,0,0,0,Neant
4,5,0.0687186334745549,0,0,-0.0211720190526492,0,0,0.274856460702899,0.109393962344848,0,0,0,0,Neant
5,5,-0.111116176080339,0,0,-0.0335997895696462,0,0,0.0215421126738209,-0.075552285156488,0,0,0,0,Neant
6,5,0.0822780251283106,0,0,0.210416530376743,0,0,0.273351804237599,-0.226957946826452,0,0,0,0,Neant
7,5,-0.008074999491928,0,0,-0.290430851644202,0,0,0.402967567459116,0.0974103501205754,0,0,0,0,Neant
8,5,-0.00727603213083287,0,0,0.270387838591113,0,0,0.171961848335976,-0.0734957187678505,0,0,0,0,Neant
9,5,0.147990578571844,0,0,-0.584570731971938,0,0,0.805177275806687,0.0270240966959482,0,0,0,0,Neant
10,5,0.0701460682826566,0,0,0.952596184774061,0,0,0.60320180099643,0.0514772775653349,0,0,0,0,Neant
11,5,0.0701460682826566,0,0,-0.533121411820095,0,0,0.0741465661907765,0.111724240505486,0,0,0,0,Neant
12,5,-0.114519027143751,0,0,-0.0375163654517466,0,0,0.0167858197425595,0.0554426352483027,0,0,0,0,Neant
13,5,0.111294624973267,0,0,-0.0479740254278626,0,0,0.514299471688486,-0.126073765171166,0,0,0,0,Neant
14,5,0.0425659916640968,0,0,-0.144487581804055,0,0,0.822916354385332,0.0924632038823382,0,0,0,0,Neant
15,5,0.00316952175885454,0,0,0.0107890714873704,0,0,0.466820544355934,0.143165239074177,0,0,0,0,Neant
16,5,0.161540710841445,0,0,0.672540181852144,0,0,0.98055144580205,-0.168913515529409,0,0,0,0,Neant
17,5,-0.0111218127327557,0,0,-0.335998752198668,0,0,0.182528142875951,0.234808568413878,0,0,0,0,Neant
18,5,0.0174995855999592,0,0,-0.121808349678969,0,0,-0.217689097674315,0.0794324633147531,0,0,0,0,Neant
19,5,-0.0513170103038119,0,0,-0.280730557205633,0,0,-0.241645978687038,-0.0706910080587603,0,0,0,0,Neant
