id,importanceSampling
1,17.199920
2,31.821599
3,5.870995
4,5.636731
5,17.388273
6,2.224646
7,12.746971
8,18.167436
9,16.741088
10,17.285341
11,7.230804
12,17.744520
13,16.404739
14,22.911567
15,14.661669
16,13.481332
17,6.945856
18,4.196894
19,14.663277
20,11.001107
21,7.726045
22,9.564257
23,11.847941
24,19.858803
25,19.522922
26,7.671282
27,18.584315
28,13.571168
29,13.766045
30,20.057516
31,8.901122
32,6.909497
33,5.935913
34,13.044626
35,4.850575
36,8.353776
37,0.360098
38,5.450844
39,14.260414
40,5.049934
41,11.846696
42,30.706640
43,36.529339
44,26.931252
45,24.014845
46,26.707595
47,32.541904
48,35.545024
49,18.059196
50,26.722163
51,23.482494
52,38.823096
53,26.274881
54,25.790346
55,19.815970
56,31.394260
57,24.801096
58,53.406237
59,26.614289
60,10.713459
