parameter,value,se_sa,rse_sa
tin_pop,-5.00760979928153,0.781808738301094,-15.6124132997197
beta_tin_source_Neant,0.216698968484658,0.0603335143545899,27.8420865482161
beta_tin_source_Wolfel,0.058083731508758,0.149002935789589,256.531272904052
iniT_pop,2666667,,
iniI_pop,0.0333333,,
beta_pop,2.22095699236314e-8,1.84927997129825e-8,83.2650059256925
rhoX_pop,2,,
k_pop,4,,
delta_pop,0.958694468825272,0.110455676069149,11.5214679609547
p_pop,7276.37234312792,2559.78670254974,35.1794353262763
c_pop,10,,
sigmaX_pop,1,,
phiX_pop,2,,
dX_pop,0.2,,
omega_tin,0.0715628253910606,0.0215757263601345,30.1493495292175
omega_beta,0.385754967663304,0.689861846464736,178.834209354075
omega_delta,0.688181542406297,0.129901278089719,18.8760189114498
omega_p,0.143244918562017,0.0614996577472066,42.9332212022451
a,1.41914391515286,0.09333710672115,6.57700080481944
